Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
182	468.74964639321075	1416.4667609618105	['Calb2', 'Chrm2', 'Col25a1', 'Cplx2', 'Crhbp', 'Enc1', 'Gad1', 'Npy', 'Nrsn1', 'Pcp4', 'Pvalb', 'Rasgrf2', 'Satb1', 'Scg2', 'Serpini1', 'Slc6a1', 'Snca', 'Tac1']	[0.010455728322106205, 0.9765973716250398, 0.1689440326921434, 0.01809834090419325, 0.9093003320655668, 0.2188809224004132, 7.841463177358916, 3.745493398072668, 1.9682944510012792, 0.057181611641704204, 11.299798392424686, 0.9996866826608597, 0.999213813414631, 0.0037215969269719894, 0.024745256518544367, 0.6661476074597538, 0.0037189057523809373, 0.9263086994809387]	['Pvalb.Tac1.Akr1c18', 'Pvalb.Tac1.Syt2']	[0.9920304408733612, 0.007248988445959739]
183	478.240464344942	1872.3864013266998	['3110035E14Rik', 'Cplx2', 'Nrsn1', 'Prkca', 'Pvalb', 'Rasgrf2', 'Sema3c', 'Snca']	[0.0013703463891027343, 0.003519207282386278, 0.4943707557676957, 0.9827145037502261, 0.06559478162441225, 0.9769384310189374, 0.9840666795592172, 0.01658519870346328]	['Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001981964353206684, 0.005524826009096406, 0.0050563409191356845, 0.010228309250228078, 0.012708431665458831, 0.007825131879711105, 0.9514269438583076]
184	480.34232954545456	2202.265625	['3110035E14Rik', 'Cplx2', 'Cxcl14', 'Enpp2', 'Satb1', 'Sema3c']	[1.9719690960742216, 0.9718640022421003, 1.9909341126993787, 0.9756221414956506, 0.9931008586232278, 0.015054611648683457]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Igfbp4', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.015155434389601805, 0.014420713389371386, 0.004719365856662534, 0.0076335763435988165, 0.007510226191945835, 0.0044370072955015665, 0.008252232353165275, 0.006518203301467341, 0.001049237035899984, 0.0022177979930902906, 0.004480295458933234, 0.005682567984144709, 0.00598141923312496, 0.0081352758128648, 0.004362658939703434, 0.005310645216386406, 0.01037711316925339, 0.8808824914648179]
185	481.07795371498173	798.1291108404384	['3110035E14Rik', 'Cadps2', 'Cplx2', 'Gad1', 'Hapln1', 'Htr3a', 'Id2', 'Lamp5', 'Npy', 'Reln', 'Rgs4', 'Slc6a1']	[0.9939546517313719, 0.994089452754134, 0.12599756259594935, 0.08767456074101458, 0.0029262211101882918, 0.0021270610234890943, 0.8847324069768113, 0.012201088428773432, 0.4599015517432766, 0.005941431241589185, 0.0069403924062115116, 0.007111289778289889]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0022416873687745786, 0.0027445819312115764, 0.0013195822826650738, 0.0010274053453301903, 0.0024819984187817662, 0.008337155030875142, 0.005427568828865571, 0.015674774490441044, 0.012329431479532322, 0.008875144668601363, 0.9364557393260656]
186	489.3801020408163	1423.0484693877552	['Calb2', 'Chrm2', 'Col25a1', 'Cplx2', 'Crhbp', 'Enc1', 'Gad1', 'Npy', 'Pvalb', 'Rasgrf2', 'Satb1', 'Scg2', 'Serpini1', 'Slc6a1', 'Tac1']	[0.9768309121079454, 0.016134074771026376, 1.7584814832589157, 0.0095243987504195, 3.1307589352726586, 0.004159677216410892, 2.9873122095832505, 5.07082738353531, 10.31745433382483, 0.9864054197404991, 0.9953613530863504, 0.9896163502808042, 0.9738210077866774, 0.2573353154150752, 0.0030043999701486056]	['Pvalb.Tac1.Akr1c18', 'Pvalb.Tac1.Sst']	[0.9989185605959142, 0.0010372496726965296]
187	485.07749077490774	1353.479704797048	['3110035E14Rik', 'Col25a1', 'Cplx2', 'Gad1', 'Id2', 'Kctd12', 'Lhx6', 'Nos1', 'Pcp4']	[1.0489475343273196, 0.7105311779113551, 0.6543938215740183, 0.0961158289428946, 0.028030148208080224, 0.9685397712623575, 0.4456454982473907, 0.025588143565535893, 0.023592540745778275]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.00336404856486104, 0.002272534281459408, 0.001455033272990668, 0.0012573564812946724, 0.0032780160630763865, 0.0013416514263379573, 0.00125550806238009, 0.0017907314260377722, 0.0011834867523410886, 0.007247008642067302, 0.008055837353823158, 0.001198548306060998, 0.0104378556059154, 0.011839959196718564, 0.0038569560137223734, 0.009536416989155954, 0.9250752220182623]
188	489.56113902847574	2362.154103852596	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Plp1', 'Pvalb', 'Sst']	[0.9973238857757707, 0.9924068274843962, 0.9928940951509947, 0.5252717283415254, 8.65186346627906, 1.0317245648881341, 1.991935118954702]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.26684961553475073, 0.09882682461810316, 0.009153671994570985, 0.032995555926762135, 0.25308831862389874, 0.33907697236810586]
189	489.55371900826447	1110.7148760330579	['Cplx2', 'Nrsn1', 'Plp1', 'Slc6a1', 'Sst']	[1.4687200885864682, 0.9633694238353085, 4.97728198942436, 0.005132132152873386, 0.9940679832418132]	['Astro.5', 'Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Zero']	[0.0012053268432801712, 0.01376876897845472, 0.8394565642346764, 0.006436583527696743, 0.0025021762682258886, 0.03379448341951012, 0.09665963820633089, 0.0019064168260720172]
190	491.90819672131147	1343.134426229508	['3110035E14Rik', 'Col25a1', 'Cplx2', 'Gad1', 'Id2', 'Kctd12', 'Lhx6', 'Nos1', 'Pvalb']	[0.9366107184917513, 0.027828705130789118, 0.9361128670017312, 0.0021425852690364422, 0.7966814912553383, 0.02630310375238719, 0.00382302147727979, 0.6867144221720919, 0.005146211298851915]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'PC.CA1.2', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.006279370976263757, 0.004947233886292338, 0.004338862916645022, 0.0029503638080334935, 0.005336702307364426, 0.0016570421552414402, 0.001330454945412234, 0.0022294706381337788, 0.0011796137780873367, 0.0011238805754053562, 0.009722828099915383, 0.007980848393151203, 0.0010662384490463157, 0.013959711216760705, 0.01230885695404632, 0.004276851868838517, 0.0010000027139844183, 0.0012244446146762273, 0.0098682144288764, 0.9042666619455673]
191	495.94319131161234	1457.2781954887218	['Col25a1', 'Cplx2', 'Crhbp', 'Enpp2', 'Gad1', 'Npy', 'Plp1', 'Prkca', 'Pvalb', 'Rasgrf2', 'Scg2', 'Slc6a1']	[0.9598514382818233, 0.05260179210864196, 1.8453488248590895, 0.9924848705554877, 0.032903585746456195, 0.03540765943841333, 0.9908726634148344, 0.07174357462873511, 1.2782403933127258, 0.005724743259893523, 0.0017593529523215253, 2.276056878861661]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Vip.Gpd1', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Pvalb.C1ql1.Cpne5', 'Pvalb.Tac1.Akr1c18', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Syt2', 'Vsmc', 'Zero']	[0.009142833728374482, 0.006068292035122119, 0.0026606519751770983, 0.007503098238875958, 0.009232697724099426, 0.0010340190542186016, 0.0010664513283616553, 0.0010963157446763887, 0.010865059795763972, 0.020210732655660753, 0.006644174234554282, 0.016747972467565545, 0.016941934477466353, 0.001664185240004589, 0.003851315884834377, 0.007066737480410951, 0.004329719568695671, 0.01418270043326157, 0.8532992375160192]
192	497.1813909774436	2322.936090225564	['Cplx2', 'Cryab', 'Pcp4', 'Plp1', 'Pvalb', 'Satb1', 'Slc6a1']	[0.4793199492980201, 1.9986512992004777, 0.9918391670743834, 4.994714272179431, 0.2074635269773097, 0.00107953567964843, 1.5913925094805588]	['Astro.5', 'Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0014740146913812255, 0.0011573406950651963, 0.3600179632870685, 0.02761239173733526, 0.003682328074943332, 0.017654312893179636, 0.19629589643218806, 0.39035393507259813]
