Gene,y,x
Aldoc,27162.410590826803,7254.63061652193
Cck,26197.410590826803,7292.63061652193
Cck,26317.410590826803,7292.63061652193
Cxcl14,27148.410590826803,7292.63061652193
Cplx2,26258.410590826803,7294.63061652193
Cplx2,26351.410590826803,7294.63061652193
Pcp4,26794.410590826803,7299.63061652193
Nrn1,26110.410590826803,7302.63061652193
Neurod6,26212.410590826803,7303.63061652193
Cck,26408.410590826803,7303.63061652193
Cck,26234.410590826803,7304.63061652193
Aldoc,27001.410590826803,7305.63061652193
Id2,26658.410590826803,7309.63061652193
Nrn1,26034.410590826803,7311.63061652193
Pde1a,26739.410590826803,7311.63061652193
Nrn1,26030.410590826803,7313.63061652193
Cxcl14,26970.410590826803,7314.63061652193
Pde1a,26095.410590826803,7315.63061652193
Gabrd,26613.410590826803,7316.63061652193
Sst,26337.410590826803,7318.63061652193
Sst,26319.410590826803,7319.63061652193
Sst,26326.410590826803,7320.63061652193
Cxcl14,26775.410590826803,7320.63061652193
Cort,26348.410590826803,7322.63061652193
Bcl11b,26149.410590826803,7324.63061652193
Slc6a1,26202.410590826803,7324.63061652193
Aldoc,26375.410590826803,7324.63061652193
Sst,26323.410590826803,7325.63061652193
Id2,26849.410590826803,7325.63061652193
Plp1,26299.410590826803,7326.63061652193
Sst,26318.410590826803,7326.63061652193
Sst,26331.410590826803,7326.63061652193
Cxcl14,26786.410590826803,7326.63061652193
Slc6a1,26207.410590826803,7327.63061652193
Prkca,26304.410590826803,7327.63061652193
Aldoc,26837.410590826803,7328.63061652193
Cort,26349.410590826803,7330.63061652193
Aldoc,26474.410590826803,7330.63061652193
Plp1,26995.410590826803,7330.63061652193
Pde1a,26103.410590826803,7331.63061652193
Sst,26333.410590826803,7331.63061652193
Sst,26345.410590826803,7332.63061652193
Sst,26318.410590826803,7333.63061652193
Pcp4,27169.410590826803,7333.63061652193
Sst,27061.410590826803,7334.63061652193
Sst,26326.410590826803,7336.63061652193
Sst,26332.410590826803,7336.63061652193
Pde1a,26289.410590826803,7337.63061652193
Plp1,26309.410590826803,7337.63061652193
Aldoc,26857.410590826803,7337.63061652193
Snca,27182.410590826803,7337.63061652193
Pde1a,26020.410590826803,7338.63061652193
Sst,27071.410590826803,7339.63061652193
Sst,26320.410590826803,7340.63061652193
Plp1,26990.410590826803,7340.63061652193
Sst,26338.410590826803,7341.63061652193
Cxcl14,26818.410590826803,7341.63061652193
Slc6a1,26842.410590826803,7341.63061652193
Sst,26333.410590826803,7342.63061652193
Enpp2,26977.410590826803,7342.63061652193
Sst,26328.410590826803,7343.63061652193
Slc6a1,26040.410590826803,7345.63061652193
Nrn1,26116.410590826803,7345.63061652193
Sst,26337.410590826803,7346.63061652193
Sst,26344.410590826803,7347.63061652193
Grin3a,26331.410590826803,7348.63061652193
Aldoc,26829.410590826803,7348.63061652193
Cck,26278.410590826803,7350.63061652193
Slc6a1,26520.410590826803,7350.63061652193
Cnr1,27083.410590826803,7350.63061652193
Plp1,26988.410590826803,7352.63061652193
Sst,27058.410590826803,7352.63061652193
Snca,26096.410590826803,7353.63061652193
Cryab,26103.410590826803,7354.63061652193
Slc6a1,26837.410590826803,7354.63061652193
Neurod6,26285.410590826803,7356.63061652193
Penk,26897.410590826803,7356.63061652193
Slc6a1,26739.410590826803,7358.63061652193
Pde1a,27085.410590826803,7358.63061652193
Pcp4,26788.410590826803,7359.63061652193
Snca,26447.410590826803,7360.63061652193
Neurod6,26120.410590826803,7362.63061652193
Pcp4,26707.410590826803,7362.63061652193
Sst,26024.410590826803,7364.63061652193
Rgs4,26296.410590826803,7364.63061652193
Pde1a,26006.410590826803,7369.63061652193
Plp1,26531.410590826803,7369.63061652193
Cxcl14,26774.410590826803,7374.63061652193
Nrn1,26280.410590826803,7375.63061652193
Cryab,26533.410590826803,7375.63061652193
Pcp4,26935.410590826803,7375.63061652193
Neurod6,26295.410590826803,7376.63061652193
Cryab,26946.410590826803,7376.63061652193
Plp1,26546.410590826803,7378.63061652193
Vip,26802.410590826803,7378.63061652193
Id2,26139.410590826803,7379.63061652193
Rgs4,26923.410590826803,7380.63061652193
Neurod6,26069.410590826803,7381.63061652193
Neurod6,26004.410590826803,7382.63061652193
Cck,26061.410590826803,7385.63061652193
Plp1,26556.410590826803,7386.63061652193
Rgs12,26194.410590826803,7387.63061652193
Calb2,26545.410590826803,7387.63061652193
Slc6a1,26141.410590826803,7389.63061652193
Aldoc,26520.410590826803,7395.63061652193
Slc6a1,26140.410590826803,7396.63061652193
Plp1,26551.410590826803,7396.63061652193
Cryab,26115.410590826803,7398.63061652193
Aldoc,26147.410590826803,7398.63061652193
Aldoc,26977.410590826803,7399.63061652193
Rgs4,26804.410590826803,7400.63061652193
Pde1a,26221.410590826803,7401.63061652193
Slc6a1,26139.410590826803,7403.63061652193
Ntng1,26697.410590826803,7403.63061652193
Penk,26727.410590826803,7403.63061652193
Neurod6,26053.410590826803,7404.63061652193
Aldoc,26291.410590826803,7406.63061652193
Sst,26732.410590826803,7406.63061652193
Aldoc,26274.410590826803,7408.63061652193
Neurod6,26311.410590826803,7413.63061652193
Cxcl14,26517.410590826803,7413.63061652193
Sst,26721.410590826803,7413.63061652193
Aldoc,26864.410590826803,7413.63061652193
Cplx2,26572.410590826803,7414.63061652193
Pde1a,26174.410590826803,7415.63061652193
Rgs12,26198.410590826803,7415.63061652193
Wfs1,26751.410590826803,7415.63061652193
Sst,26756.410590826803,7417.63061652193
Kctd12,26315.410590826803,7418.63061652193
Sst,26729.410590826803,7418.63061652193
Cryab,26246.410590826803,7419.63061652193
Slc6a1,26720.410590826803,7421.63061652193
Serpini1,26053.410590826803,7422.63061652193
Lhx6,26253.410590826803,7422.63061652193
Neurod6,26177.410590826803,7423.63061652193
Calb1,26416.410590826803,7423.63061652193
Sst,26730.410590826803,7426.63061652193
Sst,26724.410590826803,7428.63061652193
Plp1,27180.410590826803,7428.63061652193
Pde1a,26071.410590826803,7430.63061652193
Cck,26205.410590826803,7430.63061652193
Cck,26881.410590826803,7430.63061652193
Plp1,26209.410590826803,7434.63061652193
Pde1a,26229.410590826803,7437.63061652193
Cryab,26310.410590826803,7438.63061652193
Cplx2,26112.410590826803,7439.63061652193
Neurod6,26184.410590826803,7441.63061652193
Neurod6,26373.410590826803,7441.63061652193
Reln,26216.410590826803,7442.63061652193
Satb1,26521.410590826803,7442.63061652193
Nrn1,26944.410590826803,7443.63061652193
Neurod6,26175.410590826803,7446.63061652193
Plp1,27179.410590826803,7446.63061652193
