Gene,y,x
Grin3a,25429.389515833598,10871.6199172542
Pvalb,25622.389515833598,10871.6199172542
Neurod6,25821.389515833598,10871.6199172542
Plp1,25948.389515833598,10871.6199172542
Snca,25438.389515833598,10872.6199172542
Pvalb,25634.389515833598,10872.6199172542
Snca,25443.389515833598,10873.6199172542
Cnr1,25596.389515833598,10874.6199172542
Snca,25940.389515833598,10874.6199172542
Prkca,25578.389515833598,10875.6199172542
Slc6a1,25632.389515833598,10875.6199172542
Plp1,25947.389515833598,10875.6199172542
Plp1,25958.389515833598,10877.6199172542
Snca,25538.389515833598,10878.6199172542
Snca,25622.389515833598,10878.6199172542
Kit,25708.389515833598,10879.6199172542
Plp1,25952.389515833598,10879.6199172542
Plp1,25941.389515833598,10880.6199172542
Pde1a,25740.389515833598,10881.6199172542
Gad1,25630.389515833598,10882.6199172542
Plp1,25916.389515833598,10882.6199172542
Ntng1,25566.389515833598,10883.6199172542
Gad1,25637.389515833598,10883.6199172542
Slc6a1,25692.389515833598,10885.6199172542
Gabrd,25708.389515833598,10885.6199172542
Snca,25556.389515833598,10886.6199172542
Slc6a1,25630.389515833598,10887.6199172542
Pde1a,25753.389515833598,10887.6199172542
Enpp2,25945.389515833598,10887.6199172542
Plp1,25955.389515833598,10887.6199172542
Plp1,25919.389515833598,10888.6199172542
Slc6a1,25633.389515833598,10889.6199172542
Plp1,25785.389515833598,10889.6199172542
Slc6a1,25418.389515833598,10890.6199172542
Gad1,25594.389515833598,10890.6199172542
Bcl11b,25701.389515833598,10890.6199172542
Plp1,25939.389515833598,10890.6199172542
Slc6a1,25411.389515833598,10891.6199172542
Cck,25625.389515833598,10891.6199172542
Plp1,25767.389515833598,10892.6199172542
Cryab,25918.389515833598,10892.6199172542
Neurod6,25574.389515833598,10893.6199172542
Cryab,25708.389515833598,10893.6199172542
Plp1,25925.389515833598,10893.6199172542
Nov,25756.389515833598,10894.6199172542
Plp1,25775.389515833598,10894.6199172542
Enpp2,25932.389515833598,10894.6199172542
Snca,25955.389515833598,10894.6199172542
Nrn1,25515.389515833598,10895.6199172542
Slc6a1,25702.389515833598,10895.6199172542
Plp1,25785.389515833598,10895.6199172542
Plp1,25770.389515833598,10897.6199172542
Pvalb,25623.389515833598,10898.6199172542
Cplx2,25478.389515833598,10899.6199172542
Pde1a,25552.389515833598,10900.6199172542
Plp1,25786.389515833598,10900.6199172542
Pvalb,25606.389515833598,10901.6199172542
Rgs4,25742.389515833598,10901.6199172542
Neurod6,25862.389515833598,10901.6199172542
Rgs4,25474.389515833598,10902.6199172542
Neurod6,25541.389515833598,10902.6199172542
Cadps2,25556.389515833598,10902.6199172542
Plp1,25776.389515833598,10903.6199172542
Cck,25500.389515833598,10904.6199172542
Snca,25575.389515833598,10904.6199172542
Slc6a1,25615.389515833598,10904.6199172542
Neurod6,25465.389515833598,10906.6199172542
Gad1,25566.389515833598,10906.6199172542
Cplx2,25458.389515833598,10907.6199172542
Neurod6,25876.389515833598,10907.6199172542
Slc6a1,25896.389515833598,10907.6199172542
Snca,25478.389515833598,10908.6199172542
Slc6a1,25589.389515833598,10908.6199172542
Npy,25710.389515833598,10908.6199172542
Gad1,25727.389515833598,10908.6199172542
Cplx2,25667.389515833598,10909.6199172542
Nrn1,25555.389515833598,10913.6199172542
Nrn1,25567.389515833598,10913.6199172542
Pvalb,25584.389515833598,10914.6199172542
Cplx2,25832.389515833598,10914.6199172542
Rgs4,25886.389515833598,10917.6199172542
Cck,25601.389515833598,10918.6199172542
Plp1,25932.389515833598,10919.6199172542
Cpne5,25493.389515833598,10920.6199172542
Prkca,25668.389515833598,10920.6199172542
Aldoc,25355.389515833598,10921.6199172542
Grin3a,25657.389515833598,10922.6199172542
Kit,25635.389515833598,10923.6199172542
Cxcl14,25889.389515833598,10923.6199172542
Cplx2,25651.389515833598,10925.6199172542
Pde1a,25673.389515833598,10925.6199172542
Cplx2,25554.389515833598,10926.6199172542
Cpne5,25694.389515833598,10926.6199172542
Plp1,25942.389515833598,10927.6199172542
Nov,25638.389515833598,10928.6199172542
Neurod6,25672.389515833598,10928.6199172542
Snca,25564.389515833598,10931.6199172542
Pde1a,25659.389515833598,10931.6199172542
Col25a1,25505.389515833598,10933.6199172542
Neurod6,25623.389515833598,10935.6199172542
Cpne5,25714.389515833598,10935.6199172542
Wfs1,25593.389515833598,10936.6199172542
Nrn1,25672.389515833598,10936.6199172542
Slc6a1,25870.389515833598,10936.6199172542
Nos1,25558.389515833598,10937.6199172542
Nos1,25490.389515833598,10940.6199172542
Neurod6,25599.389515833598,10940.6199172542
Neurod6,25607.389515833598,10941.6199172542
Pde1a,25701.389515833598,10942.6199172542
Pde1a,25582.389515833598,10943.6199172542
Sema3c,25646.389515833598,10943.6199172542
Cck,25693.389515833598,10945.6199172542
Cxcl14,25737.389515833598,10945.6199172542
Cxcl14,25807.389515833598,10946.6199172542
Neurod6,25495.389515833598,10947.6199172542
Neurod6,25542.389515833598,10947.6199172542
Kctd12,25651.389515833598,10947.6199172542
Th,25813.389515833598,10947.6199172542
Cpne5,25587.389515833598,10950.6199172542
Cplx2,25594.389515833598,10950.6199172542
Pde1a,25636.389515833598,10950.6199172542
Prkca,25641.389515833598,10950.6199172542
Kctd12,25649.389515833598,10950.6199172542
Cck,25467.389515833598,10952.6199172542
Slc6a1,25531.389515833598,10952.6199172542
Nos1,25554.389515833598,10954.6199172542
Wfs1,25594.389515833598,10955.6199172542
Snca,25447.389515833598,10956.6199172542
Slc6a1,25528.389515833598,10956.6199172542
Rgs4,25908.389515833598,10956.6199172542
Neurod6,25995.389515833598,10957.6199172542
Kit,25581.389515833598,10958.6199172542
Aldoc,25772.389515833598,10959.6199172542
Nov,25433.389515833598,10960.6199172542
Snca,25410.389515833598,10961.6199172542
Kit,25442.389515833598,10962.6199172542
Cck,25506.389515833598,10964.6199172542
Cxcl14,25799.389515833598,10964.6199172542
Neurod6,25351.389515833598,10965.6199172542
Prkca,25436.389515833598,10966.6199172542
Pde1a,25546.389515833598,10966.6199172542
Aldoc,25976.389515833598,10966.6199172542
Nrn1,25555.389515833598,10967.6199172542
Nos1,25583.389515833598,10967.6199172542
Cck,25444.389515833598,10968.6199172542
Nrn1,25407.389515833598,10969.6199172542
Pde1a,25416.389515833598,10969.6199172542
Cck,25526.389515833598,10969.6199172542
Calb1,25383.389515833598,10970.6199172542
Gda,25559.389515833598,10971.6199172542
Pde1a,25519.389515833598,10972.6199172542
Cck,25545.389515833598,10974.6199172542
