Gene,y,x
Calb2,15111.3792516043,9217.358549894301
Penk,15400.3792516043,9217.358549894301
Plp1,15789.3792516043,9217.358549894301
Plp1,14717.3792516043,9218.358549894301
Plp1,15005.3792516043,9218.358549894301
Plp1,15934.3792516043,9218.358549894301
Calb2,14922.3792516043,9219.358549894301
Slc6a1,14938.3792516043,9219.358549894301
Plp1,15070.3792516043,9219.358549894301
Nrn1,15607.3792516043,9219.358549894301
Slc6a1,15947.3792516043,9219.358549894301
Plp1,14618.3792516043,9220.358549894301
Slc6a1,14664.3792516043,9220.358549894301
Wfs1,15301.3792516043,9220.358549894301
Plp1,15344.3792516043,9220.358549894301
Slc6a1,15455.3792516043,9220.358549894301
Cxcl14,14835.3792516043,9221.358549894301
Plp1,15787.3792516043,9221.358549894301
Plp1,15792.3792516043,9221.358549894301
Cplx2,15246.3792516043,9222.358549894301
Plp1,15328.3792516043,9222.358549894301
Plp1,15512.3792516043,9222.358549894301
Cnr1,14691.3792516043,9223.358549894301
Enpp2,15604.3792516043,9223.358549894301
Pvalb,15805.3792516043,9223.358549894301
Plp1,15405.3792516043,9224.358549894301
Aldoc,14735.3792516043,9225.358549894301
Calb2,14947.3792516043,9225.358549894301
Plp1,15036.3792516043,9225.358549894301
Plp1,15777.3792516043,9225.358549894301
Plp1,15817.3792516043,9225.358549894301
Cryab,15394.3792516043,9226.358549894301
Cxcl14,15433.3792516043,9226.358549894301
Id2,15936.3792516043,9226.358549894301
Plp1,14610.3792516043,9227.358549894301
Plp1,14692.3792516043,9227.358549894301
Pcp4,15186.3792516043,9227.358549894301
Plp1,15401.3792516043,9227.358549894301
Cxcl14,15557.3792516043,9227.358549894301
Cadps2,15596.3792516043,9227.358549894301
Rab3c,15903.3792516043,9227.358549894301
Plp1,15911.3792516043,9227.358549894301
Aldoc,15918.3792516043,9227.358549894301
Cplx2,14822.3792516043,9228.358549894301
Nos1,14928.3792516043,9228.358549894301
Pvalb,15195.3792516043,9228.358549894301
Penk,15279.3792516043,9228.358549894301
Plp1,15347.3792516043,9228.358549894301
Cryab,15406.3792516043,9228.358549894301
Cxcl14,15428.3792516043,9228.358549894301
Calb2,14713.3792516043,9229.358549894301
Enpp2,14564.3792516043,9230.358549894301
Plp1,14616.3792516043,9230.358549894301
Penk,15328.3792516043,9230.358549894301
Plp1,15398.3792516043,9230.358549894301
Aldoc,15641.3792516043,9230.358549894301
Penk,15262.3792516043,9231.358549894301
Plp1,15393.3792516043,9231.358549894301
Wfs1,15598.3792516043,9231.358549894301
Slc6a1,15634.3792516043,9231.358549894301
Rgs10,15186.3792516043,9232.358549894301
Pvalb,15259.3792516043,9232.358549894301
Enpp2,15602.3792516043,9232.358549894301
Cryab,14670.3792516043,9233.358549894301
Bcl11b,14931.3792516043,9233.358549894301
Plp1,15914.3792516043,9233.358549894301
Ntng1,14691.3792516043,9234.358549894301
Calb2,14943.3792516043,9234.358549894301
Nrn1,15591.3792516043,9234.358549894301
Plp1,14803.3792516043,9235.358549894301
Plp1,15483.3792516043,9235.358549894301
Calb2,14696.3792516043,9236.358549894301
Tac2,15278.3792516043,9236.358549894301
Slc6a1,15512.3792516043,9236.358549894301
Calb2,15606.3792516043,9236.358549894301
Aldoc,15640.3792516043,9236.358549894301
Aldoc,15112.3792516043,9237.358549894301
Serpini1,15612.3792516043,9237.358549894301
Plp1,15912.3792516043,9237.358549894301
Gad1,15095.3792516043,9238.358549894301
Snca,15336.3792516043,9238.358549894301
Calb2,14657.3792516043,9239.358549894301
Aldoc,15975.3792516043,9239.358549894301
Plp1,14671.3792516043,9240.358549894301
Calb2,14767.3792516043,9240.358549894301
Aldoc,15184.3792516043,9240.358549894301
Plp1,15344.3792516043,9240.358549894301
Plp1,15394.3792516043,9240.358549894301
Thsd7a,15907.3792516043,9240.358549894301
Plp1,14803.3792516043,9241.358549894301
Vip,15264.3792516043,9241.358549894301
Snca,15359.3792516043,9241.358549894301
Enpp2,15385.3792516043,9241.358549894301
Pvalb,15604.3792516043,9241.358549894301
Cnr1,14700.3792516043,9242.358549894301
Pvalb,15253.3792516043,9242.358549894301
Plp1,15458.3792516043,9242.358549894301
Slc6a1,15480.3792516043,9242.358549894301
Cxcl14,15980.3792516043,9242.358549894301
Slc6a1,14643.3792516043,9243.358549894301
Calb2,14767.3792516043,9244.358549894301
Prkca,14779.3792516043,9244.358549894301
Pvalb,15308.3792516043,9244.358549894301
Plp1,15918.3792516043,9244.358549894301
Cryab,14726.3792516043,9245.358549894301
Cplx2,14783.3792516043,9245.358549894301
Rab3c,15287.3792516043,9245.358549894301
Serpini1,14775.3792516043,9246.358549894301
