Gene,y,x
Cryab,11056.1207993658,11052.0087917853
Plp1,11837.1207993658,11052.0087917853
Nrn1,11980.1207993658,11052.0087917853
Plp1,11684.1207993658,11053.0087917853
Plp1,11761.1207993658,11053.0087917853
Plp1,11027.1207993658,11054.0087917853
Reln,11346.1207993658,11054.0087917853
Plp1,11433.1207993658,11054.0087917853
Plp1,11544.1207993658,11054.0087917853
Plp1,11555.1207993658,11054.0087917853
Pvalb,11038.1207993658,11055.0087917853
Plp1,11052.1207993658,11057.0087917853
Plp1,11445.1207993658,11058.0087917853
Plp1,11550.1207993658,11058.0087917853
Reln,11019.1207993658,11059.0087917853
Plp1,11030.1207993658,11059.0087917853
Plp1,11047.1207993658,11059.0087917853
Gad1,11200.1207993658,11059.0087917853
Slc6a1,11569.1207993658,11059.0087917853
Plp1,11556.1207993658,11060.0087917853
Plp1,11054.1207993658,11061.0087917853
Aldoc,11894.1207993658,11061.0087917853
Plp1,11047.1207993658,11062.0087917853
Plp1,11545.1207993658,11062.0087917853
Plp1,11578.1207993658,11062.0087917853
Plp1,11607.1207993658,11064.0087917853
Plp1,11058.1207993658,11065.0087917853
Plp1,11581.1207993658,11065.0087917853
Plp1,11700.1207993658,11065.0087917853
Plp1,11066.1207993658,11066.0087917853
Cryab,11051.1207993658,11067.0087917853
Plp1,11557.1207993658,11067.0087917853
Plp1,11567.1207993658,11067.0087917853
Plp1,11551.1207993658,11068.0087917853
Plp1,11571.1207993658,11070.0087917853
Plp1,11069.1207993658,11071.0087917853
Plp1,11563.1207993658,11071.0087917853
Plp1,11578.1207993658,11071.0087917853
Plp1,11583.1207993658,11071.0087917853
Plp1,11063.1207993658,11072.0087917853
Aldoc,11157.1207993658,11072.0087917853
Plp1,11223.1207993658,11072.0087917853
Slc17a8,11309.1207993658,11072.0087917853
Plp1,11050.1207993658,11073.0087917853
Plp1,11554.1207993658,11073.0087917853
Plp1,11587.1207993658,11073.0087917853
Plp1,11057.1207993658,11074.0087917853
Plp1,11996.1207993658,11074.0087917853
Plp1,11021.1207993658,11077.0087917853
Aldoc,11314.1207993658,11077.0087917853
Enpp2,11591.1207993658,11077.0087917853
Plp1,11643.1207993658,11077.0087917853
Plp1,11028.1207993658,11079.0087917853
Slc6a1,11451.1207993658,11079.0087917853
Plp1,11547.1207993658,11079.0087917853
Pvalb,11155.1207993658,11080.0087917853
Nrn1,11320.1207993658,11080.0087917853
Cxcl14,11502.1207993658,11080.0087917853
Plp1,11582.1207993658,11080.0087917853
Cryab,11444.1207993658,11081.0087917853
Plp1,11542.1207993658,11081.0087917853
Plp1,11562.1207993658,11081.0087917853
Plp1,11020.1207993658,11082.0087917853
Plp1,11024.1207993658,11082.0087917853
Enpp2,11556.1207993658,11082.0087917853
Plp1,11568.1207993658,11082.0087917853
Aldoc,11430.1207993658,11083.0087917853
Plp1,11999.1207993658,11083.0087917853
Plp1,11260.1207993658,11084.0087917853
Pcp4,11301.1207993658,11086.0087917853
Pcp4,11317.1207993658,11086.0087917853
Plp1,11020.1207993658,11088.0087917853
Cxcl14,11239.1207993658,11088.0087917853
Plp1,11588.1207993658,11088.0087917853
Cryab,11991.1207993658,11089.0087917853
Plp1,11039.1207993658,11090.0087917853
Plp1,11179.1207993658,11090.0087917853
Enpp2,11566.1207993658,11090.0087917853
Cplx2,11759.1207993658,11090.0087917853
Plp1,11030.1207993658,11091.0087917853
Cplx2,11144.1207993658,11091.0087917853
Plp1,11561.1207993658,11091.0087917853
Col25a1,11306.1207993658,11092.0087917853
Cxcl14,11342.1207993658,11092.0087917853
Plp1,11264.1207993658,11093.0087917853
Aldoc,11289.1207993658,11093.0087917853
Cck,11326.1207993658,11093.0087917853
Plp1,11971.1207993658,11093.0087917853
Slc6a1,11467.1207993658,11094.0087917853
Plp1,11987.1207993658,11094.0087917853
Plp1,11021.1207993658,11095.0087917853
Pde1a,11315.1207993658,11095.0087917853
Plp1,11516.1207993658,11095.0087917853
Plp1,11994.1207993658,11095.0087917853
Plp1,11016.1207993658,11096.0087917853
Plp1,11029.1207993658,11096.0087917853
Cryab,11966.1207993658,11096.0087917853
Plp1,11024.1207993658,11098.0087917853
Aldoc,11634.1207993658,11098.0087917853
Plp1,11971.1207993658,11099.0087917853
Prkca,11235.1207993658,11101.0087917853
Plp1,11639.1207993658,11101.0087917853
Pvalb,11315.1207993658,11102.0087917853
Plp1,11519.1207993658,11104.0087917853
Cryab,11222.1207993658,11107.0087917853
Aldoc,11040.1207993658,11109.0087917853
Slc6a1,11507.1207993658,11109.0087917853
Aldoc,11597.1207993658,11109.0087917853
Plp1,11654.1207993658,11109.0087917853
Plp1,11900.1207993658,11109.0087917853
Plp1,11972.1207993658,11109.0087917853
Plp1,11195.1207993658,11110.0087917853
Plp1,11491.1207993658,11110.0087917853
Plp1,11659.1207993658,11110.0087917853
Aldoc,11472.1207993658,11113.0087917853
Aldoc,11777.1207993658,11113.0087917853
Plp1,11962.1207993658,11113.0087917853
Plp1,11635.1207993658,11114.0087917853
Plp1,11968.1207993658,11114.0087917853
Rgs4,11225.1207993658,11116.0087917853
Pvalb,11908.1207993658,11116.0087917853
Plp1,11627.1207993658,11117.0087917853
Plp1,11641.1207993658,11118.0087917853
Aldoc,11319.1207993658,11120.0087917853
Aldoc,11906.1207993658,11121.0087917853
Cxcl14,11095.1207993658,11123.0087917853
Plp1,11634.1207993658,11123.0087917853
Aldoc,11258.1207993658,11126.0087917853
Plp1,11632.1207993658,11128.0087917853
Plp1,11640.1207993658,11129.0087917853
