Gene,y,x
Tac2,14771.9420805419,16374.7324754891
Plp1,15129.9420805419,16374.7324754891
Plp1,15138.9420805419,16374.7324754891
Aldoc,15176.9420805419,16374.7324754891
Crh,15544.9420805419,16374.7324754891
Trp53i11,15598.9420805419,16374.7324754891
Rasgrf2,15708.9420805419,16374.7324754891
Plp1,15741.9420805419,16374.7324754891
Snca,15769.9420805419,16374.7324754891
Rgs12,14678.9420805419,16375.7324754891
Id2,14843.9420805419,16375.7324754891
Rgs4,14852.9420805419,16375.7324754891
Pthlh,15011.9420805419,16375.7324754891
Serpini1,15050.9420805419,16375.7324754891
Col25a1,15205.9420805419,16375.7324754891
Plp1,15245.9420805419,16375.7324754891
Slc17a8,15365.9420805419,16375.7324754891
Plp1,15387.9420805419,16375.7324754891
Plp1,15442.9420805419,16375.7324754891
Rgs4,15648.9420805419,16375.7324754891
Sncg,15876.9420805419,16375.7324754891
Gabrd,15935.9420805419,16375.7324754891
Sst,15943.9420805419,16375.7324754891
Nrn1,15988.9420805419,16375.7324754891
Rgs12,14792.9420805419,16376.7324754891
Sst,14986.9420805419,16376.7324754891
Cort,15022.9420805419,16376.7324754891
Rgs4,15124.9420805419,16376.7324754891
Plp1,15237.9420805419,16376.7324754891
Penk,15532.9420805419,16376.7324754891
Cplx2,15548.9420805419,16376.7324754891
Crh,15623.9420805419,16376.7324754891
Nrn1,15752.9420805419,16376.7324754891
Reln,15798.9420805419,16376.7324754891
Vip,15832.9420805419,16376.7324754891
Cxcl14,14694.9420805419,16377.7324754891
Pthlh,14767.9420805419,16377.7324754891
Sst,15107.9420805419,16377.7324754891
Vip,15301.9420805419,16377.7324754891
Thsd7a,15309.9420805419,16377.7324754891
Synpr,15378.9420805419,16377.7324754891
Plp1,15456.9420805419,16377.7324754891
Rasgrf2,15632.9420805419,16377.7324754891
Plp1,15677.9420805419,16377.7324754891
Col25a1,15687.9420805419,16377.7324754891
Sncg,15733.9420805419,16377.7324754891
Cryab,15760.9420805419,16377.7324754891
Cplx2,15783.9420805419,16377.7324754891
Nrn1,15788.9420805419,16377.7324754891
Wfs1,15959.9420805419,16377.7324754891
Sst,14798.9420805419,16378.7324754891
Htr3a,14872.9420805419,16378.7324754891
Plp1,14979.9420805419,16378.7324754891
Lhx6,15264.9420805419,16378.7324754891
Slc17a8,15395.9420805419,16378.7324754891
Vip,15409.9420805419,16378.7324754891
Plp1,15431.9420805419,16378.7324754891
Rgs10,15525.9420805419,16378.7324754891
Cck,15538.9420805419,16378.7324754891
Rab3c,15654.9420805419,16378.7324754891
Nrn1,15666.9420805419,16378.7324754891
