Gene,y,x
Calb1,9274.6059685311,12864.285908026
Aldoc,9519.6059685311,12864.285908026
Slc6a1,9658.6059685311,12865.285908026
Plp1,9872.6059685311,12865.285908026
Id2,9687.6059685311,12866.285908026
Reln,9857.6059685311,12866.285908026
Plp1,9866.6059685311,12866.285908026
Cck,9278.6059685311,12867.285908026
Plp1,9700.6059685311,12867.285908026
Plp1,9823.6059685311,12868.285908026
Plp1,9693.6059685311,12869.285908026
Plp1,9703.6059685311,12870.285908026
Plp1,9985.6059685311,12870.285908026
Nrn1,9307.6059685311,12871.285908026
Rgs4,9402.6059685311,12871.285908026
Plp1,9870.6059685311,12871.285908026
Plp1,9745.6059685311,12873.285908026
Aldoc,9594.6059685311,12875.285908026
Aldoc,9604.6059685311,12876.285908026
Cxcl14,9634.6059685311,12877.285908026
Cryab,9542.6059685311,12878.285908026
Sst,9681.6059685311,12879.285908026
Plp1,9695.6059685311,12879.285908026
Aldoc,9595.6059685311,12880.285908026
Wfs1,9477.6059685311,12881.285908026
Plp1,9699.6059685311,12881.285908026
Reln,9860.6059685311,12881.285908026
Aldoc,9988.6059685311,12881.285908026
Col25a1,9321.6059685311,12882.285908026
Cox6a2,9338.6059685311,12882.285908026
Cryab,9637.6059685311,12882.285908026
Cox6a2,9935.6059685311,12882.285908026
Id2,9244.6059685311,12884.285908026
Plp1,9697.6059685311,12884.285908026
Slc6a1,9747.6059685311,12884.285908026
Aldoc,9753.6059685311,12884.285908026
Pcp4,9854.6059685311,12884.285908026
Calb2,9867.6059685311,12885.285908026
Cplx2,9622.6059685311,12886.285908026
Pcp4,9924.6059685311,12886.285908026
Pvalb,9953.6059685311,12887.285908026
Pcp4,9985.6059685311,12887.285908026
Cryab,9481.6059685311,12888.285908026
Trp53i11,9561.6059685311,12888.285908026
Plp1,9694.6059685311,12888.285908026
Cryab,9364.6059685311,12889.285908026
Aldoc,9554.6059685311,12889.285908026
Cryab,9701.6059685311,12889.285908026
Col25a1,9749.6059685311,12889.285908026
Rgs10,9860.6059685311,12889.285908026
Col25a1,9309.6059685311,12890.285908026
Enpp2,9688.6059685311,12890.285908026
Calb2,9993.6059685311,12890.285908026
Cplx2,9856.6059685311,12891.285908026
Plp1,9868.6059685311,12891.285908026
Aldoc,9250.6059685311,12892.285908026
Id2,9271.6059685311,12892.285908026
Gad1,9755.6059685311,12893.285908026
Calb1,9316.6059685311,12894.285908026
Plp1,9669.6059685311,12894.285908026
Cryab,9701.6059685311,12894.285908026
Plp1,9679.6059685311,12895.285908026
Plp1,9691.6059685311,12896.285908026
Calb2,9305.6059685311,12898.285908026
Cplx2,9571.6059685311,12898.285908026
Aldoc,9857.6059685311,12898.285908026
Plp1,9698.6059685311,12899.285908026
Slc6a1,9755.6059685311,12899.285908026
Aldoc,9887.6059685311,12899.285908026
Gad1,9924.6059685311,12899.285908026
Trp53i11,9991.6059685311,12899.285908026
Calb2,9985.6059685311,12900.285908026
Slc6a1,9629.6059685311,12901.285908026
Cryab,9675.6059685311,12901.285908026
