Gene,y,x
Calb2,13229.426578243401,12819.7352932272
Cxcl14,13663.426578243401,12819.7352932272
Grin3a,13715.426578243401,12819.7352932272
Cnr1,13720.426578243401,12819.7352932272
Aldoc,13979.426578243401,12819.7352932272
Prkca,12925.426578243401,12820.7352932272
Slc6a1,13006.426578243401,12820.7352932272
Cryab,13255.426578243401,12820.7352932272
Calb2,13589.426578243401,12820.7352932272
Synpr,13241.426578243401,12821.7352932272
Aldoc,13272.426578243401,12821.7352932272
Cryab,13409.426578243401,12821.7352932272
Tac1,13747.426578243401,12821.7352932272
Nrn1,13330.426578243401,12822.7352932272
Nrn1,13344.426578243401,12822.7352932272
Penk,13414.426578243401,12822.7352932272
Nrn1,13483.426578243401,12822.7352932272
Aldoc,13692.426578243401,12822.7352932272
Slc6a1,13699.426578243401,12822.7352932272
Plp1,13707.426578243401,12822.7352932272
Tac1,13740.426578243401,12822.7352932272
Satb1,13765.426578243401,12822.7352932272
Slc6a1,13964.426578243401,12822.7352932272
Tac1,13173.426578243401,12823.7352932272
Sst,13247.426578243401,12823.7352932272
Reln,13321.426578243401,12823.7352932272
Slc6a1,13501.426578243401,12823.7352932272
Gad1,13537.426578243401,12823.7352932272
Plp1,13788.426578243401,12823.7352932272
Id2,12935.426578243401,12824.7352932272
Pvalb,13073.426578243401,12824.7352932272
Aldoc,13079.426578243401,12824.7352932272
Slc6a1,13850.426578243401,12824.7352932272
Aldoc,12915.426578243401,12825.7352932272
Slc6a1,13003.426578243401,12825.7352932272
Plp1,13127.426578243401,12825.7352932272
Penk,13223.426578243401,12825.7352932272
Calb2,13607.426578243401,12825.7352932272
Ntng1,13727.426578243401,12825.7352932272
Tac1,13738.426578243401,12825.7352932272
Cdh13,13553.426578243401,12826.7352932272
Enpp2,13597.426578243401,12826.7352932272
Slc6a1,12874.426578243401,12827.7352932272
Slc6a1,12991.426578243401,12827.7352932272
Snca,13008.426578243401,12827.7352932272
Cplx2,13175.426578243401,12827.7352932272
Cryab,13252.426578243401,12827.7352932272
Gad1,13666.426578243401,12827.7352932272
Cplx2,13717.426578243401,12827.7352932272
Slc6a1,13317.426578243401,12828.7352932272
Tac1,13386.426578243401,12828.7352932272
Plp1,13829.426578243401,12828.7352932272
Slc6a1,13968.426578243401,12828.7352932272
Nrn1,13330.426578243401,12829.7352932272
Calb2,13806.426578243401,12829.7352932272
Calb2,12905.426578243401,12830.7352932272
Aldoc,12915.426578243401,12830.7352932272
Id2,12936.426578243401,12830.7352932272
Calb2,13207.426578243401,12830.7352932272
Nrn1,13397.426578243401,12830.7352932272
Enpp2,13409.426578243401,12830.7352932272
Gad1,13681.426578243401,12830.7352932272
Slc6a1,13878.426578243401,12830.7352932272
Sncg,13532.426578243401,12831.7352932272
Aldoc,13580.426578243401,12831.7352932272
Cxcl14,13663.426578243401,12831.7352932272
Gad1,13690.426578243401,12831.7352932272
Trp53i11,13727.426578243401,12831.7352932272
Cplx2,13751.426578243401,12831.7352932272
Plp1,13775.426578243401,12831.7352932272
Sema3c,13989.426578243401,12831.7352932272
Snca,13201.426578243401,12832.7352932272
Sst,13489.426578243401,12832.7352932272
Nrn1,13546.426578243401,12832.7352932272
Aldoc,13708.426578243401,12832.7352932272
Aldoc,12983.426578243401,12833.7352932272
Slc6a1,13477.426578243401,12833.7352932272
Calb2,13553.426578243401,12833.7352932272
Sst,13716.426578243401,12833.7352932272
Serpini1,13734.426578243401,12833.7352932272
Plp1,13837.426578243401,12833.7352932272
Aldoc,13002.426578243401,12834.7352932272
Cck,13611.426578243401,12835.7352932272
Plp1,13828.426578243401,12835.7352932272
Reln,12905.426578243401,12836.7352932272
Plp1,12870.426578243401,12837.7352932272
Prkca,12909.426578243401,12837.7352932272
Pcp4,12916.426578243401,12837.7352932272
Calb2,13196.426578243401,12837.7352932272
Aldoc,13602.426578243401,12837.7352932272
Aldoc,13752.426578243401,12837.7352932272
Cadps2,13919.426578243401,12837.7352932272
Slc6a1,13968.426578243401,12837.7352932272
Cdh13,13473.426578243401,12838.7352932272
Cryab,12929.426578243401,12839.7352932272
Enpp2,13214.426578243401,12839.7352932272
Pde1a,13664.426578243401,12839.7352932272
Plp1,13223.426578243401,12840.7352932272
Cort,13487.426578243401,12840.7352932272
Sst,13541.426578243401,12840.7352932272
Cadps2,13553.426578243401,12840.7352932272
Plp1,13737.426578243401,12840.7352932272
Aldoc,13128.426578243401,12841.7352932272
Cdh13,13469.426578243401,12841.7352932272
Slc6a1,13564.426578243401,12841.7352932272
Slc6a1,13685.426578243401,12841.7352932272
Cplx2,13721.426578243401,12841.7352932272
Rgs4,13558.426578243401,12842.7352932272
Cplx2,13992.426578243401,12842.7352932272
Slc6a1,13118.426578243401,12843.7352932272
Lamp5,13204.426578243401,12843.7352932272
Prkca,13826.426578243401,12843.7352932272
Slc6a1,12980.426578243401,12844.7352932272
Slc6a1,13731.426578243401,12844.7352932272
Yjefn3,13757.426578243401,12844.7352932272
Aldoc,13801.426578243401,12844.7352932272
Prkca,13483.426578243401,12845.7352932272
Cplx2,13533.426578243401,12845.7352932272
Ntng1,13542.426578243401,12845.7352932272
Sncg,13550.426578243401,12845.7352932272
Plp1,13835.426578243401,12845.7352932272
Slc6a1,13866.426578243401,12845.7352932272
Calb2,13874.426578243401,12845.7352932272
Cplx2,13983.426578243401,12845.7352932272
Aldoc,12868.426578243401,12846.7352932272
