Gene,y,x
Id2,17426.5790385371,20001.199415048202
Cryab,17289.5790385371,20002.199415048202
Cplx2,17599.5790385371,20002.199415048202
Satb1,17837.5790385371,20002.199415048202
Slc6a1,17844.5790385371,20002.199415048202
Cryab,17362.5790385371,20003.199415048202
Cxcl14,17607.5790385371,20003.199415048202
Trp53i11,17228.5790385371,20004.199415048202
Cryab,17240.5790385371,20004.199415048202
Cryab,17249.5790385371,20004.199415048202
Cryab,17276.5790385371,20004.199415048202
Id2,17399.5790385371,20004.199415048202
Aldoc,17714.5790385371,20005.199415048202
Trp53i11,17381.5790385371,20006.199415048202
Ntng1,17222.5790385371,20007.199415048202
Ndnf,17424.5790385371,20007.199415048202
Wfs1,17244.5790385371,20008.199415048202
Cryab,17376.5790385371,20008.199415048202
Slc6a1,17664.5790385371,20008.199415048202
Id2,17191.5790385371,20009.199415048202
Trp53i11,17387.5790385371,20009.199415048202
Cryab,17206.5790385371,20010.199415048202
Trp53i11,17427.5790385371,20010.199415048202
Id2,17566.5790385371,20010.199415048202
Slc6a1,17728.5790385371,20010.199415048202
Trp53i11,17256.5790385371,20011.199415048202
Trp53i11,17362.5790385371,20011.199415048202
Ndnf,17439.5790385371,20011.199415048202
Cryab,17325.5790385371,20012.199415048202
Pde1a,17331.5790385371,20012.199415048202
Trp53i11,17374.5790385371,20012.199415048202
Aldoc,17740.5790385371,20012.199415048202
Trp53i11,17355.5790385371,20013.199415048202
Nov,17390.5790385371,20013.199415048202
Id2,17279.5790385371,20014.199415048202
Id2,17411.5790385371,20014.199415048202
Cxcl14,17669.5790385371,20014.199415048202
Cxcl14,17693.5790385371,20014.199415048202
Cryab,17317.5790385371,20015.199415048202
Trp53i11,17360.5790385371,20015.199415048202
Aldoc,17425.5790385371,20015.199415048202
Slc6a1,17717.5790385371,20015.199415048202
Id2,17418.5790385371,20016.199415048202
Enpp2,17465.5790385371,20016.199415048202
Id2,17687.5790385371,20016.199415048202
Slc6a1,17739.5790385371,20016.199415048202
Enpp2,17203.5790385371,20017.199415048202
Cryab,17323.5790385371,20017.199415048202
Cryab,17382.5790385371,20017.199415048202
Aldoc,17434.5790385371,20017.199415048202
Gad1,17866.5790385371,20017.199415048202
Cplx2,17967.5790385371,20017.199415048202
Cryab,17271.5790385371,20018.199415048202
Id2,17403.5790385371,20018.199415048202
Kctd12,17451.5790385371,20018.199415048202
Cryab,17213.5790385371,20019.199415048202
Trp53i11,17233.5790385371,20019.199415048202
Trp53i11,17373.5790385371,20019.199415048202
Cplx2,17660.5790385371,20019.199415048202
Id2,17466.5790385371,20020.199415048202
Tac1,17866.5790385371,20020.199415048202
Id2,17457.5790385371,20021.199415048202
Enpp2,17673.5790385371,20021.199415048202
Enpp2,17686.5790385371,20021.199415048202
Aldoc,17731.5790385371,20021.199415048202
Cxcl14,17901.5790385371,20021.199415048202
Aldoc,17054.5790385371,20022.199415048202
Cryab,17330.5790385371,20022.199415048202
Aldoc,17596.5790385371,20022.199415048202
Gad1,17861.5790385371,20022.199415048202
Enpp2,16998.5790385371,20023.199415048202
Trp53i11,17210.5790385371,20023.199415048202
Cryab,17389.5790385371,20023.199415048202
Cryab,17381.5790385371,20024.199415048202
Cryab,17455.5790385371,20025.199415048202
Cryab,17416.5790385371,20026.199415048202
Rgs12,17720.5790385371,20026.199415048202
Id2,17219.5790385371,20027.199415048202
Col25a1,17446.5790385371,20027.199415048202
Cxcl14,17517.5790385371,20027.199415048202
Cryab,17378.5790385371,20028.199415048202
Cryab,17408.5790385371,20028.199415048202
Aldoc,17762.5790385371,20028.199415048202
Slc6a1,17457.5790385371,20029.199415048202
Aldoc,17702.5790385371,20030.199415048202
Rasgrf2,17369.5790385371,20031.199415048202
Slc6a1,17463.5790385371,20031.199415048202
Aldoc,16294.643363745801,20000.0602429284
Kit,16478.6433637458,20023.0602429284
Trp53i11,16380.643363745801,20038.0602429284
Enpp2,16200.643363745801,20050.0602429284
