Gene,y,x
Satb1,11101.7618502602,14630.3041563275
Cadps2,11565.7618502602,14630.3041563275
Col25a1,11092.7618502602,14631.3041563275
Cryab,11953.7618502602,14631.3041563275
Cryab,11194.7618502602,14632.3041563275
Plp1,11339.7618502602,14632.3041563275
Aldoc,11580.7618502602,14632.3041563275
Plp1,11807.7618502602,14632.3041563275
Gad1,11129.7618502602,14633.3041563275
Plp1,11810.7618502602,14636.3041563275
Plp1,11067.7618502602,14637.3041563275
Plp1,11192.7618502602,14637.3041563275
Plp1,11199.7618502602,14637.3041563275
Plp1,11355.7618502602,14637.3041563275
Plp1,11804.7618502602,14638.3041563275
Aldoc,11458.7618502602,14639.3041563275
Pvalb,11076.7618502602,14640.3041563275
Cryab,11339.7618502602,14640.3041563275
Plp1,11203.7618502602,14641.3041563275
Plp1,11207.7618502602,14641.3041563275
Gad1,11497.7618502602,14641.3041563275
Cryab,11060.7618502602,14642.3041563275
Plp1,11807.7618502602,14642.3041563275
Gad1,11096.7618502602,14643.3041563275
Plp1,11187.7618502602,14644.3041563275
Aldoc,11076.7618502602,14645.3041563275
Ndnf,11115.7618502602,14645.3041563275
Plp1,11562.7618502602,14645.3041563275
Pvalb,11093.7618502602,14646.3041563275
Nrn1,11393.7618502602,14646.3041563275
Plp1,11579.7618502602,14646.3041563275
Cxcl14,11141.7618502602,14647.3041563275
Slc6a1,11159.7618502602,14647.3041563275
Plp1,11195.7618502602,14647.3041563275
Aldoc,11425.7618502602,14647.3041563275
Plp1,11566.7618502602,14647.3041563275
Wfs1,11884.7618502602,14647.3041563275
Plp1,11149.7618502602,14648.3041563275
Plp1,11204.7618502602,14648.3041563275
Plp1,11555.7618502602,14648.3041563275
Plp1,11665.7618502602,14648.3041563275
Plp1,11859.7618502602,14648.3041563275
Rgs4,11110.7618502602,14649.3041563275
Plp1,11165.7618502602,14649.3041563275
Pnoc,11081.7618502602,14650.3041563275
Pvalb,11101.7618502602,14650.3041563275
Plp1,11153.7618502602,14650.3041563275
Cxcl14,11992.7618502602,14650.3041563275
Plp1,11561.7618502602,14651.3041563275
Calb1,11794.7618502602,14651.3041563275
Plp1,11187.7618502602,14652.3041563275
Plp1,11192.7618502602,14653.3041563275
Aldoc,11239.7618502602,14653.3041563275
Plp1,11160.7618502602,14654.3041563275
Cryab,11569.7618502602,14654.3041563275
Plp1,11148.7618502602,14655.3041563275
Enpp2,11168.7618502602,14655.3041563275
Plp1,11154.7618502602,14656.3041563275
Plp1,11563.7618502602,14656.3041563275
Rgs12,11628.7618502602,14656.3041563275
Plp1,11199.7618502602,14657.3041563275
Plp1,11190.7618502602,14658.3041563275
Plp1,11365.7618502602,14658.3041563275
Cryab,11139.7618502602,14660.3041563275
Plp1,11176.7618502602,14660.3041563275
Slc6a1,11971.7618502602,14660.3041563275
Plp1,11980.7618502602,14660.3041563275
Plp1,11148.7618502602,14661.3041563275
Plp1,11170.7618502602,14661.3041563275
Pvalb,11403.7618502602,14662.3041563275
Plp1,11557.7618502602,14664.3041563275
Plp1,11585.7618502602,14664.3041563275
Plp1,11978.7618502602,14664.3041563275
Slc6a1,11915.7618502602,14665.3041563275
Plp1,11985.7618502602,14665.3041563275
Cdh13,11400.7618502602,14666.3041563275
Plp1,11547.7618502602,14666.3041563275
Plp1,11563.7618502602,14666.3041563275
Cryab,11713.7618502602,14666.3041563275
Plp1,11969.7618502602,14666.3041563275
Pvalb,11389.7618502602,14668.3041563275
Plp1,11592.7618502602,14668.3041563275
Aldoc,11904.7618502602,14668.3041563275
Plp1,11182.7618502602,14669.3041563275
Slc6a1,11346.7618502602,14669.3041563275
Plp1,11960.7618502602,14669.3041563275
Plp1,11169.7618502602,14670.3041563275
Plp1,11173.7618502602,14670.3041563275
Plp1,11587.7618502602,14670.3041563275
Plp1,11155.7618502602,14671.3041563275
Enpp2,11582.7618502602,14671.3041563275
Id2,11754.7618502602,14671.3041563275
Pvalb,11789.7618502602,14671.3041563275
Gad1,11075.7618502602,14673.3041563275
Plp1,11958.7618502602,14673.3041563275
Plp1,11970.7618502602,14673.3041563275
Plp1,11119.7618502602,14674.3041563275
Plp1,11167.7618502602,14675.3041563275
Cxcl14,11413.7618502602,14675.3041563275
Aldoc,11911.7618502602,14675.3041563275
Plp1,11180.7618502602,14676.3041563275
Plp1,11128.7618502602,14677.3041563275
Plp1,11565.7618502602,14677.3041563275
Plp1,11588.7618502602,14677.3041563275
Plp1,11966.7618502602,14677.3041563275
Plp1,11580.7618502602,14678.3041563275
Pvalb,11993.7618502602,14678.3041563275
Nrn1,11192.7618502602,14679.3041563275
Id2,11244.7618502602,14679.3041563275
Cplx2,11503.7618502602,14679.3041563275
Plp1,11167.7618502602,14680.3041563275
Plp1,11160.7618502602,14681.3041563275
Cxcl14,11385.7618502602,14681.3041563275
Plp1,11573.7618502602,14681.3041563275
Cryab,11981.7618502602,14681.3041563275
Aldoc,11847.7618502602,14682.3041563275
Plp1,11975.7618502602,14682.3041563275
Cxcl14,11099.7618502602,14683.3041563275
Pvalb,11620.7618502602,14683.3041563275
Slc6a1,11737.7618502602,14683.3041563275
Plp1,11971.7618502602,14683.3041563275
Plp1,11122.7618502602,14684.3041563275
Cryab,11134.7618502602,14684.3041563275
Aldoc,11895.7618502602,14684.3041563275
Plp1,11166.7618502602,14685.3041563275
Id2,11819.7618502602,14685.3041563275
Plp1,11929.7618502602,14685.3041563275
Plp1,11956.7618502602,14685.3041563275
Plp1,11422.7618502602,14686.3041563275
Plp1,11587.7618502602,14686.3041563275
Plp1,11113.7618502602,14687.3041563275
Pvalb,11843.7618502602,14687.3041563275
Plp1,11969.7618502602,14687.3041563275
Cryab,11145.7618502602,14688.3041563275
Enpp2,11943.7618502602,14688.3041563275
Plp1,11948.7618502602,14688.3041563275
Plp1,11983.7618502602,14688.3041563275
Plp1,11569.7618502602,14690.3041563275
Slc6a1,11609.7618502602,14690.3041563275
Id2,11867.7618502602,14690.3041563275
Plp1,11119.7618502602,14691.3041563275
Plp1,11125.7618502602,14691.3041563275
Aldoc,11689.7618502602,14691.3041563275
Pvalb,11838.7618502602,14691.3041563275
Aldoc,11856.7618502602,14692.3041563275
Plp1,11113.7618502602,14693.3041563275
Pcp4,11846.7618502602,14694.3041563275
Plp1,11979.7618502602,14695.3041563275
Slc6a1,11464.7618502602,14696.3041563275
Aldoc,11858.7618502602,14696.3041563275
Plp1,11934.7618502602,14697.3041563275
Plp1,11121.7618502602,14698.3041563275
Plp1,11125.7618502602,14698.3041563275
Cryab,11921.7618502602,14698.3041563275
Plp1,11142.7618502602,14699.3041563275
Plp1,11865.7618502602,14699.3041563275
Plp1,11913.7618502602,14699.3041563275
Pvalb,11998.7618502602,14699.3041563275
Aldoc,11094.7618502602,14700.3041563275
Cryab,11130.7618502602,14700.3041563275
Cdh13,11510.7618502602,14700.3041563275
Plp1,11119.7618502602,14704.3041563275
Plp1,11931.7618502602,14704.3041563275
Plp1,11136.7618502602,14705.3041563275
Ntng1,11847.7618502602,14705.3041563275
Plp1,11128.7618502602,14707.3041563275
Plp1,11922.7618502602,14708.3041563275
Plp1,11926.7618502602,14709.3041563275
Id2,11867.7618502602,14711.3041563275
Nos1,11904.7618502602,14711.3041563275
Plp1,11932.7618502602,14711.3041563275
Cxcl14,11394.7618502602,14712.3041563275
Id2,11469.7618502602,14712.3041563275
Plp1,11938.7618502602,14712.3041563275
Aldoc,11065.7618502602,14713.3041563275
Plp1,11115.7618502602,14713.3041563275
Nrn1,11610.7618502602,14713.3041563275
Id2,11466.7618502602,14716.3041563275
Plp1,11931.7618502602,14716.3041563275
Cplx2,11159.7618502602,14717.3041563275
Rgs4,11082.7618502602,14718.3041563275
Aldoc,11155.7618502602,14719.3041563275
Aldoc,11400.7618502602,14720.3041563275
Plp1,11923.7618502602,14720.3041563275
Aldoc,11394.7618502602,14721.3041563275
Cplx2,11275.7618502602,14723.3041563275
Cxcl14,11936.7618502602,14724.3041563275
Plp1,11135.7618502602,14725.3041563275
Penk,11881.7618502602,14725.3041563275
Plp1,11810.7618502602,14726.3041563275
Aldoc,11406.7618502602,14727.3041563275
Nrn1,11281.7618502602,14728.3041563275
Id2,11469.7618502602,14729.3041563275
Rgs10,11063.7618502602,14730.3041563275
Plp1,11140.7618502602,14730.3041563275
Penk,11865.7618502602,14730.3041563275
Plp1,11103.7618502602,14731.3041563275
Aldoc,11401.7618502602,14731.3041563275
Aldoc,11155.7618502602,14732.3041563275
Plp1,11315.7618502602,14734.3041563275
Plp1,11633.7618502602,14734.3041563275
Plp1,11807.7618502602,14734.3041563275
Plp1,11826.7618502602,14734.3041563275
Aldoc,11491.7618502602,14736.3041563275
Aldoc,11109.7618502602,14737.3041563275
Rgs10,11853.7618502602,14738.3041563275
Slc6a1,11378.7618502602,14739.3041563275
Plp1,11718.7618502602,14739.3041563275
Plp1,11305.7618502602,14741.3041563275
Plp1,11329.7618502602,14741.3041563275
Plp1,11822.7618502602,14742.3041563275
Nrn1,11257.7618502602,14743.3041563275
Aldoc,11482.7618502602,14743.3041563275
Plp1,11622.7618502602,14743.3041563275
Kit,11103.7618502602,14744.3041563275
Plp1,11147.7618502602,14744.3041563275
Plp1,11165.7618502602,14744.3041563275
Bcl11b,11091.7618502602,14745.3041563275
Plp1,11317.7618502602,14745.3041563275
Slc6a1,11744.7618502602,14745.3041563275
Cryab,11902.7618502602,14746.3041563275
Slc6a1,11946.7618502602,14746.3041563275
Slc6a1,11376.7618502602,14747.3041563275
Cryab,11866.7618502602,14747.3041563275
Plp1,11771.7618502602,14748.3041563275
Plp1,11872.7618502602,14748.3041563275
Slc6a1,11841.7618502602,14750.3041563275
Gad1,11102.7618502602,14751.3041563275
Plp1,11216.7618502602,14751.3041563275
Plp1,11735.7618502602,14752.3041563275
Plp1,11830.7618502602,14752.3041563275
Cxcl14,11406.7618502602,14753.3041563275
Plp1,11837.7618502602,14754.3041563275
Plp1,11861.7618502602,14754.3041563275
Pcp4,11278.7618502602,14755.3041563275
Plp1,11614.7618502602,14755.3041563275
Cxcl14,11499.7618502602,14757.3041563275
Cxcl14,11301.7618502602,14759.3041563275
Plp1,11798.7618502602,14759.3041563275
Plp1,11834.7618502602,14760.3041563275
Plp1,11230.7618502602,14761.3041563275
Plp1,11855.7618502602,14762.3041563275
Plp1,11830.7618502602,14763.3041563275
Plp1,11844.7618502602,14763.3041563275
Trp53i11,11860.7618502602,14763.3041563275
Aldoc,11868.7618502602,14764.3041563275
Aldoc,11065.7618502602,14765.3041563275
Cxcl14,11884.7618502602,14765.3041563275
Aldoc,11391.7618502602,14769.3041563275
Aldoc,11173.7618502602,14771.3041563275
Cdh13,11241.7618502602,14772.3041563275
Plp1,11562.7618502602,14775.3041563275
Aldoc,11596.7618502602,14775.3041563275
Plp1,11827.7618502602,14775.3041563275
Slc6a1,11569.7618502602,14777.3041563275
Plp1,11575.7618502602,14778.3041563275
Tac1,11599.7618502602,14778.3041563275
Plp1,11776.7618502602,14778.3041563275
Enpp2,11218.7618502602,14782.3041563275
Col25a1,11376.7618502602,14782.3041563275
Slc6a1,11251.7618502602,14783.3041563275
Plp1,11599.7618502602,14783.3041563275
Plp1,11474.7618502602,14786.3041563275
Plp1,11869.7618502602,14786.3041563275
Slc6a1,11159.7618502602,14787.3041563275
Aldoc,11421.7618502602,14788.3041563275
Plp1,11611.7618502602,14789.3041563275
Pvalb,11106.7618502602,14791.3041563275
Nrn1,11557.7618502602,14791.3041563275
Plp1,11227.7618502602,14792.3041563275
Plp1,11866.7618502602,14792.3041563275
Aldoc,11727.7618502602,14793.3041563275
Plp1,11759.7618502602,14793.3041563275
