Gene,y,x
Nrn1,16643.0736779778,14563.768642269099
Pvalb,16827.0736779778,14563.768642269099
Cryab,16905.0736779778,14563.768642269099
Plp1,17203.0736779778,14563.768642269099
Nrn1,17241.0736779778,14563.768642269099
Enpp2,17261.0736779778,14563.768642269099
Cxcl14,17575.0736779778,14563.768642269099
Plp1,17192.0736779778,14564.768642269099
Cxcl14,17556.0736779778,14564.768642269099
Plp1,17649.0736779778,14564.768642269099
Plp1,17659.0736779778,14564.768642269099
Plp1,17793.0736779778,14564.768642269099
Aldoc,16884.0736779778,14565.768642269099
Pvalb,17079.0736779778,14565.768642269099
Plcxd2,17210.0736779778,14565.768642269099
Penk,17496.0736779778,14565.768642269099
Aldoc,16616.0736779778,14566.768642269099
Bcl11b,16652.0736779778,14566.768642269099
Slc6a1,16771.0736779778,14566.768642269099
Nrn1,17766.0736779778,14566.768642269099
Plp1,16900.0736779778,14567.768642269099
Slc6a1,17583.0736779778,14567.768642269099
Cxcl14,16604.0736779778,14568.768642269099
Plp1,17197.0736779778,14568.768642269099
Slc6a1,17344.0736779778,14568.768642269099
Cxcl14,17702.0736779778,14568.768642269099
Pcp4,16974.0736779778,14569.768642269099
Plp1,17206.0736779778,14569.768642269099
Pvalb,17362.0736779778,14569.768642269099
Serpini1,17805.0736779778,14569.768642269099
Slc6a1,16612.0736779778,14570.768642269099
Slc6a1,16648.0736779778,14570.768642269099
Pvalb,16942.0736779778,14570.768642269099
Plp1,17163.0736779778,14570.768642269099
Pcp4,17757.0736779778,14570.768642269099
Plp1,17781.0736779778,14570.768642269099
Sncg,17787.0736779778,14570.768642269099
Pvalb,17810.0736779778,14570.768642269099
Enpp2,16795.0736779778,14571.768642269099
Gad1,16856.0736779778,14571.768642269099
Id2,17498.0736779778,14571.768642269099
Id2,17558.0736779778,14571.768642269099
Calb2,16518.0736779778,14572.768642269099
Slc6a1,17352.0736779778,14572.768642269099
Gad1,16551.0736779778,14573.768642269099
Reln,16591.0736779778,14573.768642269099
Pvalb,16935.0736779778,14573.768642269099
Plp1,17199.0736779778,14573.768642269099
Nrn1,17216.0736779778,14573.768642269099
Enpp2,17765.0736779778,14573.768642269099
Rgs4,17795.0736779778,14573.768642269099
Aldoc,16544.0736779778,14574.768642269099
Cplx2,16655.0736779778,14574.768642269099
Nrn1,16721.0736779778,14574.768642269099
Serpini1,16759.0736779778,14574.768642269099
Slc6a1,16787.0736779778,14574.768642269099
Calb2,17247.0736779778,14574.768642269099
Aldoc,17384.0736779778,14574.768642269099
Plp1,17656.0736779778,14574.768642269099
Trp53i11,16500.0736779778,14575.768642269099
Pvalb,16831.0736779778,14575.768642269099
Gad1,16851.0736779778,14575.768642269099
Col25a1,17152.0736779778,14575.768642269099
Kit,17239.0736779778,14575.768642269099
Cplx2,17984.0736779778,14575.768642269099
Ntng1,16702.0736779778,14576.768642269099
Plp1,16893.0736779778,14576.768642269099
Plp1,16908.0736779778,14576.768642269099
Pcp4,16976.0736779778,14576.768642269099
Aldoc,17523.0736779778,14576.768642269099
Trp53i11,16513.0736779778,14577.768642269099
Cryab,17702.0736779778,14577.768642269099
Pvalb,17729.0736779778,14577.768642269099
Nrn1,17788.0736779778,14577.768642269099
Slc6a1,16695.0736779778,14578.768642269099
Plp1,16916.0736779778,14578.768642269099
Cnr1,16941.0736779778,14578.768642269099
Plp1,17652.0736779778,14578.768642269099
Cplx2,17296.0736779778,14579.768642269099
Kit,17303.0736779778,14579.768642269099
Pvalb,17536.0736779778,14579.768642269099
Calb2,17214.0736779778,14580.768642269099
Nrn1,17241.0736779778,14580.768642269099
Cxcl14,16789.0736779778,14581.768642269099
Id2,16863.0736779778,14581.768642269099
Plp1,17211.0736779778,14581.768642269099
Plp1,17649.0736779778,14581.768642269099
Synpr,17703.0736779778,14581.768642269099
Pcp4,17759.0736779778,14581.768642269099
Lamp5,16489.0736779778,14582.768642269099
Sst,16543.0736779778,14582.768642269099
Pthlh,16699.0736779778,14582.768642269099
Plp1,16908.0736779778,14582.768642269099
