Gene,y,x
Cplx2,11222.759223361201,18210.4248262363
Pde1a,11310.759223361201,18210.4248262363
Cxcl14,11342.759223361201,18210.4248262363
Slc17a8,11426.759223361201,18210.4248262363
Cxcl14,11119.759223361201,18211.4248262363
Cplx2,11216.759223361201,18211.4248262363
Neurod6,11279.759223361201,18211.4248262363
Rgs4,11301.759223361201,18211.4248262363
Cpne5,11355.759223361201,18211.4248262363
Slc6a1,11776.759223361201,18211.4248262363
Kcnk2,11258.759223361201,18212.4248262363
Rasgrf2,11341.759223361201,18213.4248262363
Aldoc,11412.759223361201,18213.4248262363
Cplx2,11170.759223361201,18214.4248262363
Rgs4,11244.759223361201,18214.4248262363
Aldoc,11319.759223361201,18214.4248262363
Neurod6,11350.759223361201,18214.4248262363
Snca,11363.759223361201,18214.4248262363
Cxcl14,11337.759223361201,18215.4248262363
Nrn1,11114.759223361201,18216.4248262363
Cxcl14,11148.759223361201,18216.4248262363
Cxcl14,11237.759223361201,18216.4248262363
Wfs1,11276.759223361201,18216.4248262363
Penk,11325.759223361201,18216.4248262363
Aldoc,11163.759223361201,18217.4248262363
Gabrd,11315.759223361201,18217.4248262363
Cxcl14,11346.759223361201,18217.4248262363
Slc6a1,11544.759223361201,18217.4248262363
Nrn1,11174.759223361201,18218.4248262363
Trp53i11,11300.759223361201,18219.4248262363
Neurod6,11591.759223361201,18219.4248262363
Yjefn3,11784.759223361201,18219.4248262363
Id2,11435.759223361201,18220.4248262363
Cplx2,11949.759223361201,18220.4248262363
Rasgrf2,11115.759223361201,18221.4248262363
Prkca,11244.759223361201,18221.4248262363
Pnoc,11256.759223361201,18221.4248262363
Calb2,11328.759223361201,18221.4248262363
Plp1,11227.759223361201,18222.4248262363
Cpne5,11286.759223361201,18222.4248262363
Cck,11340.759223361201,18222.4248262363
Gabrd,11838.759223361201,18222.4248262363
Rab3c,11177.759223361201,18223.4248262363
Id2,11191.759223361201,18223.4248262363
Cxcl14,11216.759223361201,18223.4248262363
Slc6a1,11266.759223361201,18223.4248262363
Rgs4,11371.759223361201,18223.4248262363
Cplx2,11909.759223361201,18223.4248262363
Calb1,11448.759223361201,18224.4248262363
Plp1,11233.759223361201,18225.4248262363
Aldoc,11305.759223361201,18225.4248262363
Snca,11349.759223361201,18225.4248262363
Aldoc,11354.759223361201,18225.4248262363
Id2,11377.759223361201,18225.4248262363
Neurod6,11595.759223361201,18225.4248262363
Nrn1,11183.759223361201,18226.4248262363
Id2,11298.759223361201,18226.4248262363
Cplx2,11334.759223361201,18226.4248262363
Slc6a1,11415.759223361201,18226.4248262363
Trp53i11,11993.759223361201,18226.4248262363
Plp1,11222.759223361201,18227.4248262363
Rgs4,11244.759223361201,18227.4248262363
