Gene,y,x
Plp1,3981.16092568205,14722.3577300891
Plp1,3972.16092568205,14726.3577300891
Plp1,3994.16092568205,14727.3577300891
Plp1,3972.16092568205,14731.3577300891
Plp1,3997.16092568205,14745.3577300891
Plp1,3904.16092568205,14759.3577300891
Plp1,3978.16092568205,14762.3577300891
Plp1,3950.16092568205,14765.3577300891
Cdh13,3971.16092568205,14774.3577300891
Plp1,3966.16092568205,14777.3577300891
Plp1,3997.16092568205,14796.3577300891
Plp1,3992.16092568205,14797.3577300891
Plp1,3924.16092568205,14806.3577300891
Pthlh,3904.16092568205,14813.3577300891
Pcp4,3915.16092568205,14816.3577300891
Pcp4,3906.16092568205,14820.3577300891
Pde1a,3913.16092568205,14823.3577300891
Pde1a,3915.16092568205,14831.3577300891
Pde1a,3898.16092568205,14835.3577300891
Pde1a,3938.16092568205,14842.3577300891
Cplx2,3899.16092568205,14847.3577300891
Rgs4,3901.16092568205,14869.3577300891
Pcp4,3905.16092568205,14873.3577300891
Rgs4,3898.16092568205,14877.3577300891
Pcp4,3905.16092568205,14878.3577300891
Snca,3913.16092568205,14879.3577300891
Neurod6,3905.16092568205,14884.3577300891
Pcp4,3914.16092568205,14884.3577300891
Neurod6,3899.16092568205,14899.3577300891
Pde1a,3903.16092568205,14902.3577300891
Cryab,3920.16092568205,14902.3577300891
Rgs4,3909.16092568205,14903.3577300891
Neurod6,3904.16092568205,14908.3577300891
Pde1a,3911.16092568205,14908.3577300891
Neurod6,3916.16092568205,14911.3577300891
Cryab,3985.16092568205,14912.3577300891
Cryab,3907.16092568205,14917.3577300891
Snca,3956.16092568205,14920.3577300891
Pde1a,3989.16092568205,14920.3577300891
Pde1a,3954.16092568205,14924.3577300891
Pde1a,3912.16092568205,14925.3577300891
Pcp4,3982.16092568205,14927.3577300891
Cplx2,3921.16092568205,14929.3577300891
Pde1a,3960.16092568205,14929.3577300891
Pcp4,3987.16092568205,14929.3577300891
Nos1,3922.16092568205,14943.3577300891
Plp1,3995.16092568205,14943.3577300891
Vip,3913.16092568205,14945.3577300891
Plp1,3983.16092568205,14947.3577300891
Nov,3967.16092568205,14951.3577300891
Plp1,3984.16092568205,14952.3577300891
Plp1,3943.16092568205,14955.3577300891
Cryab,3954.16092568205,14957.3577300891
Plp1,3939.16092568205,14958.3577300891
Plp1,3932.16092568205,14959.3577300891
Plp1,3978.16092568205,14968.3577300891
Plp1,3985.16092568205,14968.3577300891
Cryab,3972.16092568205,14969.3577300891
Enpp2,3967.16092568205,14972.3577300891
Plp1,3976.16092568205,14973.3577300891
Plp1,3991.16092568205,14973.3577300891
Plp1,3985.16092568205,14974.3577300891
Plp1,3990.16092568205,14977.3577300891
Cck,3937.16092568205,14979.3577300891
Nov,3907.16092568205,14980.3577300891
Plp1,3988.16092568205,14982.3577300891
Rasgrf2,3971.16092568205,14983.3577300891
Cdh13,3976.16092568205,14983.3577300891
Plp1,3997.16092568205,14984.3577300891
Cplx2,3939.16092568205,14986.3577300891
Id2,3946.16092568205,14989.3577300891
Prkca,3903.16092568205,14990.3577300891
Gda,3944.16092568205,14999.3577300891
Rgs4,3908.16092568205,15004.3577300891
Pde1a,3956.16092568205,15004.3577300891
Rgs4,3994.16092568205,15010.3577300891
Pde1a,3939.16092568205,15011.3577300891
Nrn1,3958.16092568205,15011.3577300891
Nov,3914.16092568205,15012.3577300891
Neurod6,3913.16092568205,15020.3577300891
Pde1a,3940.16092568205,15022.3577300891
Nrn1,3917.16092568205,15023.3577300891
Satb1,3943.16092568205,15027.3577300891
Nr4a2,3899.16092568205,15028.3577300891
Nrn1,3910.16092568205,15028.3577300891
Id2,3979.16092568205,15031.3577300891
Cck,3914.16092568205,15034.3577300891
Neurod6,3954.16092568205,15035.3577300891
Aldoc,3915.16092568205,15039.3577300891
Cryab,3905.16092568205,15050.3577300891
Pcp4,3919.16092568205,15050.3577300891
Pthlh,3925.16092568205,15054.3577300891
Pcp4,3909.16092568205,15056.3577300891
Cplx2,3912.16092568205,15063.3577300891
Neurod6,3939.16092568205,15064.3577300891
Pde1a,3955.16092568205,15066.3577300891
Pde1a,3902.16092568205,15069.3577300891
Pcp4,3930.16092568205,15070.3577300891
Neurod6,3947.16092568205,15070.3577300891
Satb1,3903.16092568205,15075.3577300891
Rgs4,3969.16092568205,15075.3577300891
Rgs4,3998.16092568205,15075.3577300891
Snca,3953.16092568205,15078.3577300891
Rgs4,3977.16092568205,15080.3577300891
Satb1,3952.16092568205,15085.3577300891
Rgs10,3907.16092568205,15088.3577300891
Neurod6,3939.16092568205,15092.3577300891
Pde1a,3947.16092568205,15093.3577300891
Cryab,3929.16092568205,15094.3577300891
Neurod6,3977.16092568205,15096.3577300891
Id2,3936.16092568205,15098.3577300891
