Gene,y,x
Nrn1,25579.970656824502,16240.5115406219
Cxcl14,25856.970656824502,16240.5115406219
Aldoc,25528.970656824502,16244.5115406219
Pde1a,25422.970656824502,16245.5115406219
Cck,25721.970656824502,16248.5115406219
Nrn1,25898.970656824502,16250.5115406219
Snca,25421.970656824502,16252.5115406219
Lamp5,25884.970656824502,16253.5115406219
Pvalb,25586.970656824502,16254.5115406219
Cck,25941.970656824502,16254.5115406219
Cadps2,25859.970656824502,16255.5115406219
Plp1,25412.970656824502,16256.5115406219
Prkca,25892.970656824502,16256.5115406219
Plp1,25847.970656824502,16257.5115406219
Slc6a1,25682.970656824502,16260.5115406219
Cox6a2,25583.970656824502,16261.5115406219
Cck,25573.970656824502,16262.5115406219
Cxcl14,25824.970656824502,16262.5115406219
Aldoc,25840.970656824502,16264.5115406219
Gad1,25712.970656824502,16265.5115406219
Slc6a1,25832.970656824502,16265.5115406219
Slc6a1,25574.970656824502,16266.5115406219
Sst,25703.970656824502,16266.5115406219
Nrn1,25854.970656824502,16266.5115406219
Enpp2,25871.970656824502,16266.5115406219
Serpini1,25579.970656824502,16268.5115406219
Gad1,25586.970656824502,16269.5115406219
Gad1,25725.970656824502,16270.5115406219
Aldoc,25686.970656824502,16271.5115406219
Rgs4,25861.970656824502,16271.5115406219
Gad1,25702.970656824502,16274.5115406219
Sst,25722.970656824502,16274.5115406219
Sst,25736.970656824502,16275.5115406219
Rgs4,25874.970656824502,16275.5115406219
Calb1,25704.970656824502,16278.5115406219
Rgs4,25638.970656824502,16279.5115406219
Plp1,25698.970656824502,16279.5115406219
Rgs4,25649.970656824502,16280.5115406219
Sst,25711.970656824502,16280.5115406219
Sst,25733.970656824502,16280.5115406219
Cplx2,25753.970656824502,16281.5115406219
Sst,25722.970656824502,16282.5115406219
Pvalb,25589.970656824502,16284.5115406219
Cplx2,25860.970656824502,16284.5115406219
Prkca,25866.970656824502,16284.5115406219
Reln,25713.970656824502,16285.5115406219
Cxcl14,25790.970656824502,16285.5115406219
Rgs4,25634.970656824502,16287.5115406219
Nrn1,25875.970656824502,16287.5115406219
Crhbp,25727.970656824502,16288.5115406219
Cadps2,25891.970656824502,16288.5115406219
Rgs4,25997.970656824502,16289.5115406219
Id2,25654.970656824502,16292.5115406219
Rgs4,25639.970656824502,16293.5115406219
Prkca,25866.970656824502,16294.5115406219
Lamp5,25892.970656824502,16296.5115406219
Rgs4,25646.970656824502,16298.5115406219
Cplx2,25756.970656824502,16298.5115406219
Gad1,25809.970656824502,16299.5115406219
Plp1,25846.970656824502,16300.5115406219
Sst,25951.970656824502,16300.5115406219
Rgs4,25639.970656824502,16301.5115406219
Slc6a1,25798.970656824502,16301.5115406219
Rgs4,25882.970656824502,16301.5115406219
Cplx2,25858.970656824502,16302.5115406219
Lamp5,25843.970656824502,16304.5115406219
Rasgrf2,25889.970656824502,16304.5115406219
Rgs4,25649.970656824502,16305.5115406219
Rgs4,25683.970656824502,16308.5115406219
Cck,25693.970656824502,16308.5115406219
Lamp5,25880.970656824502,16309.5115406219
Gabrd,25888.970656824502,16310.5115406219
Cck,25734.970656824502,16311.5115406219
Enpp2,25680.970656824502,16312.5115406219
Nrn1,25688.970656824502,16312.5115406219
Lamp5,25729.970656824502,16315.5115406219
Gad1,25793.970656824502,16316.5115406219
Plp1,25708.970656824502,16317.5115406219
Cadps2,25957.970656824502,16317.5115406219
Id2,25648.970656824502,16318.5115406219
Sst,25573.970656824502,16319.5115406219
Slc6a1,25580.970656824502,16319.5115406219
Rgs4,25985.970656824502,16319.5115406219
Cplx2,25677.970656824502,16320.5115406219
Plp1,25708.970656824502,16322.5115406219
Enpp2,25716.970656824502,16322.5115406219
Pvalb,25806.970656824502,16322.5115406219
Pvalb,25821.970656824502,16322.5115406219
Slc6a1,25813.970656824502,16323.5115406219
Cck,25753.970656824502,16324.5115406219
Rgs4,25987.970656824502,16324.5115406219
Aldoc,25654.970656824502,16325.5115406219
Calb1,25692.970656824502,16325.5115406219
Snca,25742.970656824502,16325.5115406219
Id2,25979.970656824502,16325.5115406219
Nrn1,25588.970656824502,16326.5115406219
Serpini1,25996.970656824502,16326.5115406219
Plp1,25706.970656824502,16327.5115406219
Gad1,25810.970656824502,16327.5115406219
Cxcl14,25665.970656824502,16328.5115406219
Pvalb,25823.970656824502,16328.5115406219
Cck,25682.970656824502,16330.5115406219
Nr4a2,25720.970656824502,16330.5115406219
Prkca,25752.970656824502,16330.5115406219
Slc6a1,25803.970656824502,16330.5115406219
Cplx2,25991.970656824502,16330.5115406219
Slc6a1,25806.970656824502,16331.5115406219
Cxcl14,25606.970656824502,16332.5115406219
Cplx2,25649.970656824502,16332.5115406219
Plp1,25708.970656824502,16332.5115406219
Gabrd,25818.970656824502,16332.5115406219
Cck,25700.970656824502,16333.5115406219
Cox6a2,25812.970656824502,16333.5115406219
Cplx2,25433.970656824502,16334.5115406219
Slc6a1,25621.970656824502,16334.5115406219
Plp1,25727.970656824502,16335.5115406219
Nos1,25970.970656824502,16336.5115406219
Sncg,25549.970656824502,16337.5115406219
Plp1,25708.970656824502,16337.5115406219
Plp1,25723.970656824502,16337.5115406219
Aldoc,25797.970656824502,16337.5115406219
Aldoc,25867.970656824502,16337.5115406219
Nrn1,25694.970656824502,16338.5115406219
Slc6a1,25814.970656824502,16338.5115406219
Nov,25828.970656824502,16338.5115406219
Cck,25478.970656824502,16339.5115406219
Plp1,25717.970656824502,16339.5115406219
Rgs4,25741.970656824502,16339.5115406219
Lamp5,25974.970656824502,16339.5115406219
Cplx2,25438.970656824502,16340.5115406219
Rgs4,25701.970656824502,16340.5115406219
Nrn1,25730.970656824502,16340.5115406219
Rgs10,25472.970656824502,16341.5115406219
Cck,25735.970656824502,16341.5115406219
Cck,25947.970656824502,16341.5115406219
Rgs4,25536.970656824502,16342.5115406219
Slc6a1,25859.970656824502,16343.5115406219
Enpp2,25801.970656824502,16344.5115406219
Cplx2,25787.970656824502,16345.5115406219
Plp1,25737.970656824502,16347.5115406219
Rgs4,25529.970656824502,16348.5115406219
Rgs4,25557.970656824502,16350.5115406219
Plp1,25736.970656824502,16350.5115406219
Plp1,25766.970656824502,16350.5115406219
Nrn1,25547.970656824502,16351.5115406219
Cck,25751.970656824502,16351.5115406219
Rgs4,25530.970656824502,16352.5115406219
Plp1,25741.970656824502,16352.5115406219
Nrn1,25781.970656824502,16352.5115406219
Cck,25986.970656824502,16352.5115406219
Lamp5,25538.970656824502,16353.5115406219
Lamp5,25703.970656824502,16353.5115406219
Serpini1,25760.970656824502,16354.5115406219
Id2,25771.970656824502,16354.5115406219
Reln,25754.970656824502,16356.5115406219
Rgs4,25789.970656824502,16356.5115406219
Plp1,25736.970656824502,16357.5115406219
Nrn1,25783.970656824502,16357.5115406219
Aldoc,25932.970656824502,16357.5115406219
Cadps2,25812.970656824502,16358.5115406219
Lamp5,25794.970656824502,16362.5115406219
Tac2,25418.970656824502,16363.5115406219
Cxcl14,25520.970656824502,16363.5115406219
Sst,25778.970656824502,16363.5115406219
Sst,25786.970656824502,16363.5115406219
Aldoc,25503.970656824502,16364.5115406219
Slc6a1,25770.970656824502,16366.5115406219
Aldoc,25867.970656824502,16366.5115406219
Cck,25968.970656824502,16366.5115406219
Neurod6,25554.970656824502,16369.5115406219
Cryab,25986.970656824502,16369.5115406219
Serpini1,25817.970656824502,16370.5115406219
Sst,25797.970656824502,16371.5115406219
Aldoc,25852.970656824502,16371.5115406219
Rgs4,25941.970656824502,16371.5115406219
Aldoc,25999.970656824502,16371.5115406219
Neurod6,25560.970656824502,16372.5115406219
Sst,25767.970656824502,16372.5115406219
Yjefn3,25779.970656824502,16372.5115406219
Gad1,25908.970656824502,16372.5115406219
Cck,25811.970656824502,16373.5115406219
Calb1,25704.970656824502,16375.5115406219
Lamp5,25717.970656824502,16375.5115406219
Sst,25771.970656824502,16375.5115406219
Npy,25438.970656824502,16377.5115406219
Rgs4,25712.970656824502,16377.5115406219
Tac2,25415.970656824502,16378.5115406219
Sst,25802.970656824502,16378.5115406219
Pde1a,25555.970656824502,16379.5115406219
Gabrd,25867.970656824502,16379.5115406219
Cck,25534.970656824502,16380.5115406219
Rgs4,25818.970656824502,16381.5115406219
Cck,25543.970656824502,16382.5115406219
Rgs4,25523.970656824502,16383.5115406219
Rgs4,25701.970656824502,16383.5115406219
Snca,25510.970656824502,16385.5115406219
Crhbp,25789.970656824502,16386.5115406219
Rgs10,25800.970656824502,16386.5115406219
Enpp2,25885.970656824502,16386.5115406219
Satb1,25530.970656824502,16387.5115406219
Nrn1,25544.970656824502,16387.5115406219
Rgs4,25694.970656824502,16387.5115406219
Sst,25808.970656824502,16387.5115406219
Nrn1,25866.970656824502,16387.5115406219
Enpp2,25415.970656824502,16388.5115406219
Sst,25784.970656824502,16389.5115406219
Nrn1,25988.970656824502,16389.5115406219
Rgs4,25598.970656824502,16390.5115406219
Sst,25802.970656824502,16391.5115406219
Cxcl14,25563.970656824502,16392.5115406219
Sncg,25797.970656824502,16392.5115406219
Reln,25962.970656824502,16392.5115406219
Lamp5,25697.970656824502,16393.5115406219
Enpp2,25880.970656824502,16394.5115406219
Yjefn3,25524.970656824502,16395.5115406219
Nrn1,25605.970656824502,16395.5115406219
Rgs4,25687.970656824502,16395.5115406219
Cxcl14,25792.970656824502,16395.5115406219
Rgs4,25864.970656824502,16396.5115406219
Rgs4,25464.970656824502,16397.5115406219
Rgs4,25540.970656824502,16397.5115406219
Cplx2,25990.970656824502,16397.5115406219
Rgs4,25724.970656824502,16398.5115406219
Lamp5,25980.970656824502,16398.5115406219
Rasgrf2,25673.970656824502,16399.5115406219
Nrn1,25456.970656824502,16400.5115406219
Lamp5,25719.970656824502,16400.5115406219
Cplx2,25730.970656824502,16400.5115406219
Nrn1,25534.970656824502,16401.5115406219
Nrn1,25595.970656824502,16401.5115406219
Neurod6,25707.970656824502,16402.5115406219
Nrn1,25958.970656824502,16402.5115406219
Aldoc,25487.970656824502,16403.5115406219
Nrn1,25737.970656824502,16404.5115406219
Cnr1,25983.970656824502,16404.5115406219
Cpne5,25721.970656824502,16405.5115406219
Nrn1,25974.970656824502,16405.5115406219
Rgs4,25621.970656824502,16407.5115406219
Snca,25873.970656824502,16407.5115406219
Cplx2,25741.970656824502,16408.5115406219
Cpne5,25866.970656824502,16408.5115406219
Rgs4,25569.970656824502,16409.5115406219
Cck,25713.970656824502,16410.5115406219
Cplx2,25888.970656824502,16410.5115406219
Cck,25532.970656824502,16411.5115406219
Lamp5,25880.970656824502,16411.5115406219
Neurod6,25719.970656824502,16412.5115406219
Lamp5,25876.970656824502,16412.5115406219
Prkca,25557.970656824502,16413.5115406219
Cck,25615.970656824502,16414.5115406219
Yjefn3,25597.970656824502,16415.5115406219
Aldoc,25675.970656824502,16415.5115406219
Lamp5,25725.970656824502,16415.5115406219
Nrn1,25744.970656824502,16415.5115406219
Rgs4,25560.970656824502,16417.5115406219
Lamp5,25620.970656824502,16418.5115406219
Wfs1,25713.970656824502,16418.5115406219
Penk,25739.970656824502,16418.5115406219
Cxcl14,25853.970656824502,16418.5115406219
Nrn1,25888.970656824502,16418.5115406219
Cplx2,25948.970656824502,16418.5115406219
Calb1,25893.970656824502,16419.5115406219
Cplx2,25862.970656824502,16420.5115406219
Cxcl14,25779.970656824502,16421.5115406219
Aldoc,25795.970656824502,16422.5115406219
Cck,25955.970656824502,16422.5115406219
Cadps2,25600.970656824502,16424.5115406219
Enpp2,25747.970656824502,16424.5115406219
Pde1a,25860.970656824502,16425.5115406219
Nrn1,25946.970656824502,16425.5115406219
Rgs4,25418.970656824502,16426.5115406219
Nrn1,25818.970656824502,16427.5115406219
Rgs4,25865.970656824502,16427.5115406219
Rgs4,25479.970656824502,16428.5115406219
Nrn1,25424.970656824502,16429.5115406219
Snca,25454.970656824502,16430.5115406219
Rasgrf2,25695.970656824502,16431.5115406219
Cort,25768.970656824502,16431.5115406219
Cck,25421.970656824502,16434.5115406219
Enpp2,25877.970656824502,16434.5115406219
Nrn1,25476.970656824502,16436.5115406219
Aldoc,25782.970656824502,16436.5115406219
Id2,25906.970656824502,16437.5115406219
Plp1,25712.970656824502,16438.5115406219
Cxcl14,25633.970656824502,16439.5115406219
Wfs1,25693.970656824502,16440.5115406219
Prkca,25707.970656824502,16440.5115406219
Cck,25885.970656824502,16440.5115406219
Nrn1,25435.970656824502,16441.5115406219
Rgs4,25464.970656824502,16441.5115406219
Gabrd,25686.970656824502,16443.5115406219
Cplx2,25846.970656824502,16443.5115406219
Cpne5,25881.970656824502,16444.5115406219
Cxcl14,25626.970656824502,16445.5115406219
Satb1,25704.970656824502,16446.5115406219
Id2,25965.970656824502,16446.5115406219
Nrn1,25452.970656824502,16448.5115406219
Rgs4,25842.970656824502,16448.5115406219
Synpr,25887.970656824502,16448.5115406219
Aldoc,25665.970656824502,16449.5115406219
Cplx2,25688.970656824502,16450.5115406219
Nrn1,25440.970656824502,16451.5115406219
Gabrd,25852.970656824502,16451.5115406219
Enpp2,25897.970656824502,16452.5115406219
Lamp5,25838.970656824502,16454.5115406219
Synpr,25886.970656824502,16454.5115406219
Rgs4,25710.970656824502,16455.5115406219
Nrn1,25967.970656824502,16455.5115406219
Cck,25466.970656824502,16456.5115406219
Rgs4,25864.970656824502,16457.5115406219
Cplx2,25700.970656824502,16458.5115406219
Cplx2,25692.970656824502,16459.5115406219
Cplx2,25982.970656824502,16459.5115406219
Cck,25835.970656824502,16460.5115406219
Lamp5,25858.970656824502,16460.5115406219
Slc6a1,25675.970656824502,16462.5115406219
Rgs4,25892.970656824502,16462.5115406219
