Gene,y,x
Sncg,14646.5067661634,11006.9849499831
Plp1,15491.5067661634,11006.9849499831
Plp1,15660.5067661634,11006.9849499831
Cryab,15817.5067661634,11006.9849499831
Gad1,14630.5067661634,11007.9849499831
Plp1,15234.5067661634,11007.9849499831
Enpp2,15240.5067661634,11007.9849499831
Plp1,15251.5067661634,11007.9849499831
Plp1,15482.5067661634,11007.9849499831
Gda,15637.5067661634,11007.9849499831
Slc6a1,14735.5067661634,11008.9849499831
Plp1,15028.5067661634,11008.9849499831
Plp1,15226.5067661634,11008.9849499831
Plp1,15672.5067661634,11008.9849499831
Sst,14831.5067661634,11009.9849499831
Plp1,14997.5067661634,11009.9849499831
Gad1,14950.5067661634,11010.9849499831
Cryab,14974.5067661634,11010.9849499831
Cplx2,15325.5067661634,11010.9849499831
Plp1,15613.5067661634,11010.9849499831
Plp1,15776.5067661634,11010.9849499831
Plp1,15647.5067661634,11011.9849499831
Aldoc,15660.5067661634,11011.9849499831
Tac2,15462.5067661634,11012.9849499831
Plp1,15483.5067661634,11012.9849499831
Satb1,15498.5067661634,11012.9849499831
Rgs4,15588.5067661634,11012.9849499831
Nrn1,15920.5067661634,11012.9849499831
Pvalb,15960.5067661634,11012.9849499831
Plp1,14982.5067661634,11013.9849499831
Slc6a1,15102.5067661634,11013.9849499831
Plp1,15216.5067661634,11013.9849499831
Plp1,15232.5067661634,11013.9849499831
Pvalb,15474.5067661634,11013.9849499831
Plp1,15771.5067661634,11013.9849499831
Sst,14640.5067661634,11014.9849499831
Plp1,14977.5067661634,11014.9849499831
Gad1,15041.5067661634,11014.9849499831
Ntng1,15055.5067661634,11014.9849499831
Plp1,15327.5067661634,11014.9849499831
Plp1,15762.5067661634,11014.9849499831
Cryab,15826.5067661634,11014.9849499831
Aldoc,14835.5067661634,11015.9849499831
Chrm2,15085.5067661634,11015.9849499831
Plp1,15418.5067661634,11015.9849499831
Plp1,15833.5067661634,11015.9849499831
Aldoc,15202.5067661634,11016.9849499831
Plp1,15228.5067661634,11016.9849499831
Plp1,15332.5067661634,11016.9849499831
Sst,15493.5067661634,11016.9849499831
Plp1,14988.5067661634,11017.9849499831
Aldoc,15175.5067661634,11017.9849499831
Cryab,15243.5067661634,11017.9849499831
Plp1,14976.5067661634,11018.9849499831
Cryab,14981.5067661634,11018.9849499831
Cryab,15286.5067661634,11018.9849499831
Plp1,15475.5067661634,11018.9849499831
Plp1,14722.5067661634,11019.9849499831
Cryab,14970.5067661634,11019.9849499831
Aldoc,15196.5067661634,11019.9849499831
Plp1,15330.5067661634,11019.9849499831
Sst,15516.5067661634,11019.9849499831
Calb2,15001.5067661634,11020.9849499831
Cryab,15621.5067661634,11020.9849499831
Plp1,15831.5067661634,11021.9849499831
Pthlh,15844.5067661634,11021.9849499831
Plp1,14672.5067661634,11022.9849499831
Prkca,15096.5067661634,11022.9849499831
Gad1,15418.5067661634,11022.9849499831
Pvalb,15439.5067661634,11022.9849499831
Plp1,15448.5067661634,11022.9849499831
Pvalb,15458.5067661634,11022.9849499831
Th,15646.5067661634,11022.9849499831
Plp1,15825.5067661634,11022.9849499831
Calb2,14617.5067661634,11023.9849499831
Enpp2,14727.5067661634,11023.9849499831
Cryab,15033.5067661634,11023.9849499831
Plp1,15048.5067661634,11023.9849499831
Gad1,15172.5067661634,11023.9849499831
Pvalb,15429.5067661634,11023.9849499831
Plp1,15505.5067661634,11023.9849499831
Plp1,15626.5067661634,11023.9849499831
Plp1,15688.5067661634,11023.9849499831
Cxcl14,14707.5067661634,11024.9849499831
Plp1,15323.5067661634,11024.9849499831
Plp1,15490.5067661634,11024.9849499831
Slc6a1,14623.5067661634,11025.9849499831
Gad1,14850.5067661634,11025.9849499831
Rgs4,14827.5067661634,11026.9849499831
