Gene,y,x
Snca,9423.1147936089,16443.5494202549
Serpini1,9427.1147936089,16443.5494202549
Penk,9579.1147936089,16443.5494202549
Nos1,9735.1147936089,16444.5494202549
Plp1,9349.1147936089,16445.5494202549
Enpp2,9648.1147936089,16445.5494202549
Cort,9604.1147936089,16447.5494202549
Plp1,9750.1147936089,16447.5494202549
Snca,9414.1147936089,16448.5494202549
Plcxd2,9424.1147936089,16449.5494202549
Cxcl14,9846.1147936089,16450.5494202549
Plp1,9868.1147936089,16451.5494202549
Cplx2,9393.1147936089,16452.5494202549
Kit,9402.1147936089,16452.5494202549
Plp1,9853.1147936089,16452.5494202549
Neurod6,9438.1147936089,16453.5494202549
Plp1,9515.1147936089,16453.5494202549
Cck,9794.1147936089,16453.5494202549
Plp1,9858.1147936089,16453.5494202549
Id2,9990.1147936089,16454.5494202549
Cxcl14,9390.1147936089,16457.5494202549
Prkca,9399.1147936089,16457.5494202549
Plcxd2,9418.1147936089,16457.5494202549
Cck,9929.1147936089,16457.5494202549
Plp1,9521.1147936089,16458.5494202549
Cxcl14,9483.1147936089,16459.5494202549
Plp1,9858.1147936089,16459.5494202549
Plp1,9412.1147936089,16460.5494202549
Cck,9478.1147936089,16463.5494202549
Cryab,9848.1147936089,16463.5494202549
Aldoc,9596.1147936089,16464.5494202549
Aldoc,9812.1147936089,16465.5494202549
Plp1,9842.1147936089,16465.5494202549
Lamp5,9948.1147936089,16465.5494202549
Cxcl14,9397.1147936089,16466.5494202549
Aldoc,9412.1147936089,16466.5494202549
Neurod6,9483.1147936089,16466.5494202549
Rgs4,9569.1147936089,16466.5494202549
Rgs4,9642.1147936089,16467.5494202549
Plp1,9865.1147936089,16467.5494202549
Plp1,9859.1147936089,16468.5494202549
Plp1,9316.1147936089,16469.5494202549
Plp1,9835.1147936089,16470.5494202549
Cck,9489.1147936089,16471.5494202549
Nrn1,9498.1147936089,16471.5494202549
Rgs4,9632.1147936089,16471.5494202549
Neurod6,9655.1147936089,16473.5494202549
Cck,9476.1147936089,16474.5494202549
Cxcl14,9519.1147936089,16474.5494202549
Rgs10,9952.1147936089,16474.5494202549
Sst,9600.1147936089,16475.5494202549
Neurod6,9724.1147936089,16476.5494202549
Neurod6,9709.1147936089,16478.5494202549
Cxcl14,9436.1147936089,16479.5494202549
Cxcl14,9470.1147936089,16480.5494202549
Gad1,9676.1147936089,16480.5494202549
Cck,9827.1147936089,16481.5494202549
Cxcl14,9994.1147936089,16481.5494202549
Prkca,9880.1147936089,16483.5494202549
Aldoc,9493.1147936089,16484.5494202549
Crhbp,9604.1147936089,16485.5494202549
