Gene,y,x
Sst,19968.8381703062,10956.1966393212
Plp1,19979.8381703062,10967.1966393212
Plp1,19965.8381703062,10981.1966393212
Plp1,19977.8381703062,10983.1966393212
Slc6a1,19969.8381703062,11075.1966393212
Slc6a1,19967.8381703062,11080.1966393212
Cck,19968.8381703062,11135.1966393212
Gabrd,19972.8381703062,11325.1966393212
Cxcl14,19989.8381703062,11446.1966393212
Cxcl14,19996.8381703062,11463.1966393212
Cox6a2,19976.8381703062,11482.1966393212
Cox6a2,19992.8381703062,11487.1966393212
Ntng1,19971.8381703062,11494.1966393212
Id2,19993.8381703062,11599.1966393212
Plp1,19998.8381703062,11602.1966393212
Aldoc,19996.8381703062,11607.1966393212
Cryab,19966.8381703062,11625.1966393212
Pvalb,19998.8381703062,11625.1966393212
Cryab,19966.8381703062,11630.1966393212
Plp1,19976.8381703062,11634.1966393212
Plp1,19977.8381703062,11652.1966393212
Plp1,19985.8381703062,11656.1966393212
Plp1,19977.8381703062,11661.1966393212
Plp1,19968.8381703062,11666.1966393212
Snca,19968.8381703062,11721.1966393212
Plp1,19978.8381703062,11848.1966393212
Plp1,19987.8381703062,11927.1966393212
Ntng1,19985.8381703062,11933.1966393212
Nrn1,19967.8381703062,11975.1966393212
Nrn1,18203.6736232777,10964.3866607702
Aldoc,18343.6736232777,10964.3866607702
Pvalb,18387.6736232777,10964.3866607702
Cxcl14,18455.6736232777,10964.3866607702
Aldoc,18461.6736232777,10964.3866607702
Plp1,19076.6736232777,10964.3866607702
Plp1,19081.6736232777,10964.3866607702
Plp1,19087.6736232777,10964.3866607702
Plp1,19098.6736232777,10964.3866607702
Plp1,19146.6736232777,10964.3866607702
Plp1,19327.6736232777,10964.3866607702
Plp1,19354.6736232777,10964.3866607702
Aldoc,18236.6736232777,10965.3866607702
Plp1,19162.6736232777,10965.3866607702
Plp1,19347.6736232777,10965.3866607702
Satb1,19443.6736232777,10965.3866607702
Plp1,19446.6736232777,10965.3866607702
Serpini1,18444.6736232777,10966.3866607702
Rgs4,18667.6736232777,10966.3866607702
Cxcl14,18854.6736232777,10966.3866607702
Enpp2,19152.6736232777,10966.3866607702
Plp1,19169.6736232777,10966.3866607702
Plp1,19323.6736232777,10966.3866607702
Pvalb,19558.6736232777,10966.3866607702
Plp1,18305.6736232777,10967.3866607702
Gad1,18377.6736232777,10967.3866607702
Gad1,18393.6736232777,10967.3866607702
Neurod6,18675.6736232777,10967.3866607702
Chrm2,18843.6736232777,10967.3866607702
Gad1,19022.6736232777,10967.3866607702
Plp1,19133.6736232777,10967.3866607702
Calb2,19524.6736232777,10967.3866607702
Aldoc,18604.6736232777,10968.3866607702
Plp1,19072.6736232777,10968.3866607702
Plp1,19350.6736232777,10968.3866607702
Plp1,19517.6736232777,10968.3866607702
Pcp4,19952.6736232777,10968.3866607702
Plp1,19147.6736232777,10969.3866607702
Plp1,19359.6736232777,10969.3866607702
Lamp5,19666.6736232777,10969.3866607702
Nrn1,18748.6736232777,10970.3866607702
Plp1,19083.6736232777,10970.3866607702
Cxcl14,19246.6736232777,10970.3866607702
Plp1,18277.6736232777,10971.3866607702
Pvalb,18367.6736232777,10971.3866607702
Cryab,19129.6736232777,10971.3866607702
Plp1,19168.6736232777,10971.3866607702
Plp1,19468.6736232777,10971.3866607702
Pvalb,18240.6736232777,10972.3866607702
Sst,18360.6736232777,10972.3866607702
Cplx2,18796.6736232777,10972.3866607702
Cplx2,18937.6736232777,10972.3866607702
Reln,18961.6736232777,10972.3866607702
Cxcl14,19186.6736232777,10972.3866607702
Plp1,19346.6736232777,10972.3866607702
Plp1,19534.6736232777,10972.3866607702
Nrn1,18742.6736232777,10973.3866607702
Aldoc,18752.6736232777,10973.3866607702
Plp1,19162.6736232777,10973.3866607702
Plp1,19465.6736232777,10973.3866607702
Pvalb,18234.6736232777,10974.3866607702
Plp1,18303.6736232777,10974.3866607702
Serpini1,18253.6736232777,10975.3866607702
Nrn1,18761.6736232777,10975.3866607702
Plp1,18977.6736232777,10975.3866607702
Slc6a1,19191.6736232777,10975.3866607702
Plp1,19358.6736232777,10975.3866607702
Plp1,19443.6736232777,10975.3866607702
Plp1,19451.6736232777,10975.3866607702
Nrn1,19661.6736232777,10975.3866607702
Plp1,18309.6736232777,10976.3866607702
Bcl11b,18896.6736232777,10976.3866607702
Ntng1,19024.6736232777,10976.3866607702
Plp1,19152.6736232777,10976.3866607702
Plp1,19529.6736232777,10976.3866607702
Wfs1,19560.6736232777,10976.3866607702
Plp1,18285.6736232777,10977.3866607702
Penk,18835.6736232777,10977.3866607702
Plp1,19167.6736232777,10977.3866607702
Aldoc,19473.6736232777,10977.3866607702
Plp1,18295.6736232777,10978.3866607702
Pcp4,18889.6736232777,10978.3866607702
Hapln1,18925.6736232777,10978.3866607702
Pcp4,18933.6736232777,10978.3866607702
Calb2,19090.6736232777,10978.3866607702
Aldoc,19308.6736232777,10978.3866607702
Cryab,19351.6736232777,10978.3866607702
Synpr,19502.6736232777,10978.3866607702
Cadps2,19667.6736232777,10978.3866607702
Gad1,18256.6736232777,10979.3866607702
Cxcl14,18535.6736232777,10979.3866607702
Chrm2,18262.6736232777,10980.3866607702
Cxcl14,18360.6736232777,10980.3866607702
Slc6a1,18614.6736232777,10980.3866607702
Aldoc,18957.6736232777,10980.3866607702
Grin3a,19179.6736232777,10980.3866607702
Aldoc,19401.6736232777,10980.3866607702
Cryab,19525.6736232777,10980.3866607702
Plp1,19675.6736232777,10980.3866607702
Aldoc,18436.6736232777,10981.3866607702
Sst,18905.6736232777,10981.3866607702
Plp1,19080.6736232777,10981.3866607702
Plp1,19144.6736232777,10981.3866607702
Plp1,19268.6736232777,10981.3866607702
Plp1,19628.6736232777,10981.3866607702
Plp1,18299.6736232777,10982.3866607702
Plp1,18307.6736232777,10982.3866607702
Plp1,18702.6736232777,10982.3866607702
Slc6a1,19131.6736232777,10982.3866607702
Plp1,19521.6736232777,10982.3866607702
Plp1,19529.6736232777,10982.3866607702
Lamp5,19668.6736232777,10982.3866607702
Slc6a1,19683.6736232777,10982.3866607702
Aldoc,18244.6736232777,10983.3866607702
Aldoc,18841.6736232777,10983.3866607702
Aldoc,18867.6736232777,10983.3866607702
Slc6a1,19365.6736232777,10983.3866607702
Col25a1,19479.6736232777,10983.3866607702
Plp1,18288.6736232777,10984.3866607702
Nrn1,18962.6736232777,10984.3866607702
Tac1,19545.6736232777,10984.3866607702
Plp1,18282.6736232777,10985.3866607702
Enpp2,18484.6736232777,10985.3866607702
Nrn1,19215.6736232777,10985.3866607702
Trp53i11,18269.6736232777,10986.3866607702
Plp1,18351.6736232777,10986.3866607702
Cck,18429.6736232777,10986.3866607702
Lamp5,19163.6736232777,10986.3866607702
Plp1,19168.6736232777,10986.3866607702
Reln,19242.6736232777,10986.3866607702
Pthlh,19419.6736232777,10986.3866607702
Plp1,19528.6736232777,10986.3866607702
Gad1,18385.6736232777,10987.3866607702
Nrn1,18451.6736232777,10987.3866607702
Pvalb,18501.6736232777,10987.3866607702
Plp1,19266.6736232777,10987.3866607702
Id2,19441.6736232777,10987.3866607702
Pcp4,19669.6736232777,10987.3866607702
Gad1,18256.6736232777,10988.3866607702
Gad1,18263.6736232777,10988.3866607702
Plp1,18292.6736232777,10988.3866607702
Plp1,18354.6736232777,10988.3866607702
Pvalb,18374.6736232777,10988.3866607702
Plp1,18763.6736232777,10988.3866607702
Rasgrf2,18799.6736232777,10988.3866607702
Ntng1,18974.6736232777,10988.3866607702
Plp1,19069.6736232777,10988.3866607702
Cplx2,19088.6736232777,10988.3866607702
Rasgrf2,19378.6736232777,10988.3866607702
Cplx2,19386.6736232777,10988.3866607702
Aldoc,19603.6736232777,10988.3866607702
Enpp2,18249.6736232777,10989.3866607702
Calb2,18345.6736232777,10989.3866607702
Hapln1,18984.6736232777,10989.3866607702
Aldoc,19551.6736232777,10989.3866607702
Slc6a1,19911.6736232777,10989.3866607702
Gad1,18277.6736232777,10990.3866607702
Plp1,18655.6736232777,10990.3866607702
Plp1,19111.6736232777,10990.3866607702
Plp1,19586.6736232777,10990.3866607702
Aldoc,19637.6736232777,10990.3866607702
Plp1,18286.6736232777,10991.3866607702
Plp1,18349.6736232777,10991.3866607702
Rgs4,18907.6736232777,10991.3866607702
Aldoc,19015.6736232777,10991.3866607702
Cck,19664.6736232777,10991.3866607702
Plp1,18958.6736232777,10992.3866607702
Aldoc,19118.6736232777,10992.3866607702
Cryab,18295.6736232777,10993.3866607702
Gad1,18360.6736232777,10993.3866607702
Cryab,18910.6736232777,10993.3866607702
Reln,18920.6736232777,10993.3866607702
Plp1,19267.6736232777,10993.3866607702
Ndnf,19360.6736232777,10993.3866607702
Aldoc,19420.6736232777,10993.3866607702
Plp1,19447.6736232777,10993.3866607702
Plp1,19530.6736232777,10993.3866607702
Plp1,19535.6736232777,10993.3866607702
Aldoc,18379.6736232777,10994.3866607702
Gad1,18396.6736232777,10994.3866607702
Plp1,19540.6736232777,10994.3866607702
Plp1,19583.6736232777,10994.3866607702
Plp1,19829.6736232777,10994.3866607702
Plp1,18348.6736232777,10995.3866607702
Aldoc,18713.6736232777,10995.3866607702
Aldoc,19102.6736232777,10995.3866607702
Slc6a1,19209.6736232777,10995.3866607702
Plp1,19483.6736232777,10995.3866607702
Pvalb,18369.6736232777,10996.3866607702
Plp1,18848.6736232777,10996.3866607702
Sst,19327.6736232777,10996.3866607702
Prkca,19367.6736232777,10996.3866607702
Lamp5,19670.6736232777,10996.3866607702
Pcp4,19929.6736232777,10996.3866607702
Gad1,18266.6736232777,10997.3866607702
Plp1,18353.6736232777,10997.3866607702
Pvalb,18589.6736232777,10997.3866607702
Cck,18674.6736232777,10997.3866607702
Nrn1,18791.6736232777,10997.3866607702
Cplx2,18886.6736232777,10997.3866607702
Plp1,18965.6736232777,10997.3866607702
Aldoc,19251.6736232777,10997.3866607702
Calb2,19429.6736232777,10997.3866607702
Plp1,19575.6736232777,10997.3866607702
Rgs4,19640.6736232777,10997.3866607702
Thsd7a,18510.6736232777,10998.3866607702
Plp1,19530.6736232777,10998.3866607702
Plp1,18290.6736232777,10999.3866607702
Aldoc,19621.6736232777,10999.3866607702
Pcp4,19684.6736232777,10999.3866607702
Enpp2,18303.6736232777,11000.3866607702
Plp1,18313.6736232777,11000.3866607702
