Gene,y,x
Synpr,21837.910933645402,12707.1218735639
Snca,21977.910933645402,12707.1218735639
Nrn1,21841.910933645402,12708.1218735639
Gad1,21952.910933645402,12709.1218735639
Cplx2,21945.910933645402,12710.1218735639
Rgs4,21933.910933645402,12711.1218735639
Cplx2,21908.910933645402,12712.1218735639
Sema3c,21988.910933645402,12712.1218735639
Snca,21799.910933645402,12714.1218735639
Pde1a,21906.910933645402,12715.1218735639
Nrn1,21969.910933645402,12715.1218735639
Slc6a1,21998.910933645402,12715.1218735639
Nrn1,21895.910933645402,12716.1218735639
Rasgrf2,21930.910933645402,12716.1218735639
Nrn1,21947.910933645402,12717.1218735639
Aldoc,21771.910933645402,12718.1218735639
Pcp4,21789.910933645402,12718.1218735639
Trp53i11,21816.910933645402,12718.1218735639
Cplx2,21854.910933645402,12719.1218735639
Snca,21879.910933645402,12719.1218735639
Cplx2,21887.910933645402,12719.1218735639
Cck,21936.910933645402,12719.1218735639
Cplx2,21970.910933645402,12720.1218735639
Gad1,21803.910933645402,12721.1218735639
Cck,21907.910933645402,12721.1218735639
Cplx2,21965.910933645402,12721.1218735639
Nrn1,21809.910933645402,12722.1218735639
Cplx2,21913.910933645402,12722.1218735639
Nrn1,21922.910933645402,12723.1218735639
Synpr,21997.910933645402,12723.1218735639
Cplx2,21951.910933645402,12725.1218735639
Gad1,21983.910933645402,12725.1218735639
Cplx2,21883.910933645402,12726.1218735639
Pcp4,21813.910933645402,12727.1218735639
Synpr,21972.910933645402,12727.1218735639
Bcl11b,21876.910933645402,12728.1218735639
Plp1,21902.910933645402,12728.1218735639
Snca,21916.910933645402,12728.1218735639
Pde1a,21940.910933645402,12729.1218735639
Synpr,21842.910933645402,12730.1218735639
Nrn1,21910.910933645402,12730.1218735639
Gad1,21958.910933645402,12731.1218735639
Cplx2,21966.910933645402,12731.1218735639
Snca,21952.910933645402,12733.1218735639
Cplx2,21986.910933645402,12733.1218735639
Cplx2,21981.910933645402,12734.1218735639
Prkca,21994.910933645402,12734.1218735639
Bcl11b,21921.910933645402,12735.1218735639
Id2,21899.910933645402,12736.1218735639
Cck,21946.910933645402,12736.1218735639
Nrn1,21849.910933645402,12737.1218735639
Satb1,21908.910933645402,12737.1218735639
Nrn1,21825.910933645402,12738.1218735639
Calb1,21865.910933645402,12738.1218735639
Cplx2,21839.910933645402,12739.1218735639
Pde1a,21790.910933645402,12740.1218735639
Cck,21820.910933645402,12740.1218735639
Nrn1,21875.910933645402,12740.1218735639
Aldoc,21993.910933645402,12740.1218735639
Nrn1,21830.910933645402,12742.1218735639
Pcp4,21885.910933645402,12742.1218735639
Id2,21891.910933645402,12742.1218735639
Cplx2,21933.910933645402,12742.1218735639
Cplx2,21858.910933645402,12743.1218735639
Plp1,21913.910933645402,12743.1218735639
Nrn1,21919.910933645402,12743.1218735639
Cplx2,21989.910933645402,12744.1218735639
Cplx2,21841.910933645402,12745.1218735639
Snca,21798.910933645402,12746.1218735639
Cck,21939.910933645402,12746.1218735639
Cplx2,21833.910933645402,12748.1218735639
Snca,21878.910933645402,12748.1218735639
Cplx2,21850.910933645402,12749.1218735639
Trp53i11,21883.910933645402,12749.1218735639
Rgs10,21917.910933645402,12749.1218735639
Cplx2,21931.910933645402,12749.1218735639
Cplx2,21787.910933645402,12750.1218735639
Ndnf,21950.910933645402,12751.1218735639
Nrn1,21896.910933645402,12752.1218735639
Synpr,21818.910933645402,12753.1218735639
Pcp4,21905.910933645402,12754.1218735639
Cryab,21956.910933645402,12754.1218735639
Cplx2,21874.910933645402,12755.1218735639
Cplx2,21985.910933645402,12755.1218735639
Snca,21784.910933645402,12758.1218735639
Cplx2,21826.910933645402,12758.1218735639
Cck,21840.910933645402,12758.1218735639
Lamp5,21848.910933645402,12758.1218735639
Cplx2,21972.910933645402,12758.1218735639
Nrn1,21897.910933645402,12760.1218735639
Nrn1,21910.910933645402,12761.1218735639
Aldoc,21981.910933645402,12762.1218735639
Snca,21865.910933645402,12763.1218735639
Aldoc,21971.910933645402,12764.1218735639
Nrn1,21841.910933645402,12765.1218735639
Cplx2,21795.910933645402,12766.1218735639
Synpr,21801.910933645402,12766.1218735639
Plp1,21884.910933645402,12766.1218735639
Cplx2,21938.910933645402,12768.1218735639
Cck,21949.910933645402,12769.1218735639
Nr4a2,21816.910933645402,12770.1218735639
Cplx2,21937.910933645402,12772.1218735639
Nrn1,21785.910933645402,12773.1218735639
Nrn1,21798.910933645402,12774.1218735639
Aldoc,21970.910933645402,12774.1218735639
Cplx2,21811.910933645402,12775.1218735639
Slc6a1,21946.910933645402,12776.1218735639
Id2,21954.910933645402,12776.1218735639
Pcp4,21794.910933645402,12777.1218735639
Cplx2,21961.910933645402,12777.1218735639
Aldoc,21991.910933645402,12777.1218735639
Aldoc,21825.910933645402,12779.1218735639
Nrn1,21868.910933645402,12779.1218735639
Synpr,21875.910933645402,12779.1218735639
Rgs4,21894.910933645402,12779.1218735639
Aldoc,21996.910933645402,12779.1218735639
Trp53i11,21983.910933645402,12782.1218735639
Lamp5,21831.910933645402,12783.1218735639
Snca,21932.910933645402,12783.1218735639
Pde1a,21862.910933645402,12784.1218735639
Cplx2,21971.910933645402,12784.1218735639
Nrn1,21797.910933645402,12785.1218735639
Nrn1,21913.910933645402,12787.1218735639
Id2,21893.910933645402,12788.1218735639
Bcl11b,21829.910933645402,12789.1218735639
Nrn1,21954.910933645402,12789.1218735639
Synpr,21798.910933645402,12790.1218735639
Nrn1,21920.910933645402,12790.1218735639
Cplx2,21811.910933645402,12792.1218735639
Rgs10,21961.910933645402,12792.1218735639
Cplx2,21839.910933645402,12793.1218735639
Calb1,21850.910933645402,12794.1218735639
Neurod6,21900.910933645402,12794.1218735639
Synpr,21796.910933645402,12795.1218735639
Gad1,21803.910933645402,12795.1218735639
Rgs4,21838.910933645402,12799.1218735639
Aldoc,21939.910933645402,12799.1218735639
Slc6a1,21909.910933645402,12801.1218735639
Slc6a1,21977.910933645402,12801.1218735639
Rgs4,21788.910933645402,12802.1218735639
Synpr,21821.910933645402,12803.1218735639
Col25a1,21852.910933645402,12803.1218735639
