Gene,y,x
Cplx2,19992.012883331397,12731.6345694044
Plp1,19991.012883331397,12816.6345694044
Plp1,19995.012883331397,12818.6345694044
Enpp2,19999.012883331397,12824.6345694044
Enpp2,19991.012883331397,12826.6345694044
Cplx2,19990.012883331397,13038.6345694044
Aldoc,19994.012883331397,13042.6345694044
Aldoc,19991.012883331397,13049.6345694044
Aldoc,19995.012883331397,13057.6345694044
Gad1,19993.012883331397,13063.6345694044
Sncg,19996.012883331397,13130.6345694044
Plp1,19994.012883331397,13164.6345694044
Plp1,19991.012883331397,13169.6345694044
Plp1,19996.012883331397,13176.6345694044
Cryab,19991.012883331397,13178.6345694044
Plp1,19993.012883331397,13203.6345694044
Enpp2,19999.012883331397,13219.6345694044
Id2,19994.012883331397,13434.6345694044
Reln,19991.012883331397,13447.6345694044
Trp53i11,19995.012883331397,13450.6345694044
Nrn1,19990.012883331397,13461.6345694044
Cxcl14,19991.012883331397,13480.6345694044
Aldoc,19999.012883331397,13494.6345694044
Wfs1,19992.012883331397,13552.6345694044
Slc6a1,19997.012883331397,13691.6345694044
Aldoc,19997.012883331397,13715.6345694044
Wfs1,19999.012883331397,13722.6345694044
Aldoc,19991.012883331397,13785.6345694044
Cryab,19999.012883331397,13790.6345694044
Aldoc,19992.012883331397,13808.6345694044
Slc6a1,19989.012883331397,13828.6345694044
Tac1,19994.012883331397,13867.6345694044
Hapln1,19999.012883331397,13869.6345694044
Cck,19990.012883331397,13888.6345694044
Reln,19989.012883331397,13992.6345694044
Cxcl14,18208.9739030539,12752.880727232
Cryab,18367.9739030539,12752.880727232
Cplx2,18447.9739030539,12752.880727232
Slc6a1,19089.9739030539,12752.880727232
Aldoc,18607.9739030539,12753.880727232
Cplx2,19621.9739030539,12753.880727232
Slc6a1,19653.9739030539,12753.880727232
Chrm2,19738.9739030539,12753.880727232
Cxcl14,18309.9739030539,12754.880727232
Neurod6,18473.9739030539,12754.880727232
Cnr1,18774.9739030539,12754.880727232
Ntng1,18982.9739030539,12754.880727232
Sst,19046.9739030539,12754.880727232
Plp1,19817.9739030539,12754.880727232
Gad1,18388.9739030539,12755.880727232
Cxcl14,18795.9739030539,12755.880727232
Plp1,19056.9739030539,12755.880727232
Pcp4,19287.9739030539,12755.880727232
Plp1,19555.9739030539,12755.880727232
Slc6a1,19607.9739030539,12755.880727232
