Gene,y,x
Cplx2,23916.8584198374,14473.693430360801
Neurod6,23927.8584198374,14476.693430360801
Aldoc,23884.8584198374,14477.693430360801
Yjefn3,23743.8584198374,14481.693430360801
Aldoc,23885.8584198374,14483.693430360801
Pde1a,23931.8584198374,14485.693430360801
Aldoc,23700.8584198374,14486.693430360801
Pde1a,23870.8584198374,14486.693430360801
Neurod6,23947.8584198374,14489.693430360801
Rgs4,23787.8584198374,14490.693430360801
Neurod6,23621.8584198374,14495.693430360801
Gad1,23899.8584198374,14495.693430360801
Cxcl14,23831.8584198374,14497.693430360801
Neurod6,23971.8584198374,14497.693430360801
Id2,23987.8584198374,14497.693430360801
Nov,23613.8584198374,14500.693430360801
Aldoc,23659.8584198374,14503.693430360801
Pde1a,23967.8584198374,14504.693430360801
Pde1a,23634.8584198374,14506.693430360801
Cadps2,23851.8584198374,14506.693430360801
Slc6a1,23771.8584198374,14507.693430360801
Aldoc,23907.8584198374,14510.693430360801
Cplx2,23950.8584198374,14510.693430360801
Cadps2,23945.8584198374,14511.693430360801
Cadps2,23620.8584198374,14512.693430360801
Pde1a,23627.8584198374,14514.693430360801
Rgs4,23653.8584198374,14517.693430360801
Cplx2,23947.8584198374,14517.693430360801
Pde1a,23626.8584198374,14519.693430360801
Cadps2,23645.8584198374,14520.693430360801
Cxcl14,23912.8584198374,14520.693430360801
Pde1a,23957.8584198374,14520.693430360801
Pde1a,23940.8584198374,14521.693430360801
Id2,23639.8584198374,14522.693430360801
Neurod6,23950.8584198374,14523.693430360801
Neurod6,23963.8584198374,14523.693430360801
Aldoc,23713.8584198374,14524.693430360801
Cplx2,23719.8584198374,14528.693430360801
Thsd7a,23646.8584198374,14529.693430360801
Nov,23654.8584198374,14529.693430360801
Cck,23690.8584198374,14532.693430360801
Cadps2,23981.8584198374,14532.693430360801
Crhbp,23927.8584198374,14533.693430360801
Cadps2,23987.8584198374,14534.693430360801
Bcl11b,23610.8584198374,14536.693430360801
Cplx2,23847.8584198374,14537.693430360801
Aldoc,23895.8584198374,14538.693430360801
Cplx2,23712.8584198374,14539.693430360801
Aldoc,23773.8584198374,14542.693430360801
Ntng1,23646.8584198374,14547.693430360801
Aldoc,23689.8584198374,14548.693430360801
Pvalb,23635.8584198374,14551.693430360801
Slc6a1,23765.8584198374,14555.693430360801
Cplx2,23855.8584198374,14556.693430360801
Aldoc,23992.8584198374,14558.693430360801
Enpp2,23867.8584198374,14559.693430360801
Gad1,23964.8584198374,14559.693430360801
Rgs4,23829.8584198374,14560.693430360801
Plp1,23949.8584198374,14566.693430360801
Rgs4,23826.8584198374,14567.693430360801
Id2,23867.8584198374,14569.693430360801
Neurod6,23650.8584198374,14573.693430360801
Neurod6,23655.8584198374,14573.693430360801
Satb1,23831.8584198374,14575.693430360801
Rgs4,23672.8584198374,14579.693430360801
Cadps2,23845.8584198374,14580.693430360801
Cck,23873.8584198374,14580.693430360801
Snca,23878.8584198374,14580.693430360801
Aldoc,23760.8584198374,14581.693430360801
Nov,23655.8584198374,14582.693430360801
Pde1a,23862.8584198374,14582.693430360801
Aldoc,23601.8584198374,14583.693430360801
Cadps2,23663.8584198374,14583.693430360801
Cxcl14,23847.8584198374,14586.693430360801
Cadps2,23963.8584198374,14588.693430360801
Rgs4,23827.8584198374,14589.693430360801
Id2,23689.8584198374,14590.693430360801
Cadps2,23957.8584198374,14591.693430360801
Rgs4,23775.8584198374,14594.693430360801
Cryab,23784.8584198374,14594.693430360801
Aldoc,23811.8584198374,14594.693430360801
Aldoc,23834.8584198374,14596.693430360801
Aldoc,23864.8584198374,14596.693430360801
Lhx6,23713.8584198374,14597.693430360801
Cdh13,23797.8584198374,14597.693430360801
Plp1,23597.8584198374,14598.693430360801
Plp1,23946.8584198374,14598.693430360801
Id2,23683.8584198374,14599.693430360801
Cadps2,23688.8584198374,14599.693430360801
Aldoc,23694.8584198374,14599.693430360801
Yjefn3,23655.8584198374,14600.693430360801
Neurod6,23678.8584198374,14601.693430360801
Id2,23801.8584198374,14602.693430360801
Cxcl14,23860.8584198374,14602.693430360801
Id2,23782.8584198374,14603.693430360801
Nos1,23776.8584198374,14604.693430360801
Aldoc,23817.8584198374,14606.693430360801
Aldoc,23894.8584198374,14606.693430360801
Cdh13,23661.8584198374,14608.693430360801
Rgs4,23812.8584198374,14608.693430360801
Aldoc,23821.8584198374,14608.693430360801
Pde1a,23698.8584198374,14609.693430360801
Cadps2,23734.8584198374,14610.693430360801
Cplx2,23807.8584198374,14610.693430360801
Nov,23674.8584198374,14611.693430360801
Cck,23739.8584198374,14611.693430360801
Aldoc,23870.8584198374,14612.693430360801
Nov,23988.8584198374,14612.693430360801
Rgs4,23711.8584198374,14613.693430360801
Rgs4,23701.8584198374,14614.693430360801
Cck,23728.8584198374,14615.693430360801
Cck,23604.8584198374,14616.693430360801
Snca,23718.8584198374,14616.693430360801
Cryab,23795.8584198374,14616.693430360801
Pvalb,23994.8584198374,14617.693430360801
Neurod6,23707.8584198374,14618.693430360801
Cck,23602.8584198374,14620.693430360801
Cplx2,23807.8584198374,14620.693430360801
Ndnf,23863.8584198374,14620.693430360801
Neurod6,23674.8584198374,14622.693430360801
Neurod6,23702.8584198374,14622.693430360801
Neurod6,23986.8584198374,14624.693430360801
Pde1a,23660.8584198374,14625.693430360801
