Gene,y,x
Cadps2,13338.5971206775,18189.1385022531
Plp1,13602.5971206775,18189.1385022531
Cxcl14,13670.5971206775,18189.1385022531
Plp1,13905.5971206775,18189.1385022531
Cpne5,13105.5971206775,18190.1385022531
Reln,13112.5971206775,18190.1385022531
Trp53i11,13354.5971206775,18190.1385022531
Slc6a1,13816.5971206775,18190.1385022531
Sncg,13374.5971206775,18191.1385022531
Aldoc,13533.5971206775,18191.1385022531
Gad1,13542.5971206775,18191.1385022531
Enpp2,13992.5971206775,18191.1385022531
Aldoc,13517.5971206775,18192.1385022531
Slc6a1,13154.5971206775,18193.1385022531
Trp53i11,13214.5971206775,18193.1385022531
Rgs10,13286.5971206775,18193.1385022531
Plp1,13477.5971206775,18193.1385022531
Rasgrf2,13537.5971206775,18193.1385022531
Plp1,13726.5971206775,18193.1385022531
Bcl11b,13871.5971206775,18193.1385022531
Cxcl14,13941.5971206775,18193.1385022531
Cxcl14,13117.5971206775,18194.1385022531
Pvalb,13877.5971206775,18194.1385022531
Aldoc,13766.5971206775,18195.1385022531
Col25a1,13828.5971206775,18195.1385022531
Cxcl14,13310.5971206775,18196.1385022531
Cplx2,13382.5971206775,18196.1385022531
Slc6a1,13526.5971206775,18196.1385022531
Rgs10,13586.5971206775,18196.1385022531
Sema3c,13626.5971206775,18196.1385022531
Plp1,13887.5971206775,18196.1385022531
Reln,13911.5971206775,18196.1385022531
Aldoc,13967.5971206775,18196.1385022531
Cplx2,12895.5971206775,18197.1385022531
Trp53i11,13217.5971206775,18197.1385022531
Aldoc,13242.5971206775,18197.1385022531
Cxcl14,13315.5971206775,18197.1385022531
Slc6a1,13514.5971206775,18197.1385022531
Plp1,13615.5971206775,18197.1385022531
Aldoc,13258.5971206775,18198.1385022531
Nrn1,13295.5971206775,18198.1385022531
Calb2,13324.5971206775,18198.1385022531
Aldoc,12911.5971206775,18199.1385022531
Cxcl14,13131.5971206775,18199.1385022531
Tac1,13113.5971206775,18200.1385022531
Cplx2,13288.5971206775,18200.1385022531
Cxcl14,13345.5971206775,18200.1385022531
Aldoc,13518.5971206775,18200.1385022531
Plp1,13603.5971206775,18200.1385022531
Cxcl14,13844.5971206775,18200.1385022531
Ntng1,12902.5971206775,18201.1385022531
Sncg,13351.5971206775,18201.1385022531
Plp1,13616.5971206775,18201.1385022531
Rgs4,13071.5971206775,18202.1385022531
Slc6a1,13100.5971206775,18202.1385022531
Cxcl14,13305.5971206775,18202.1385022531
Sst,13628.5971206775,18202.1385022531
Pcp4,13976.5971206775,18202.1385022531
Slc6a1,13155.5971206775,18203.1385022531
Plp1,13667.5971206775,18203.1385022531
Wfs1,13868.5971206775,18203.1385022531
Gad1,13143.5971206775,18204.1385022531
Col25a1,13297.5971206775,18204.1385022531
Cpne5,13408.5971206775,18204.1385022531
Slc6a1,13260.5971206775,18205.1385022531
Cxcl14,13384.5971206775,18205.1385022531
Plp1,13597.5971206775,18205.1385022531
Plp1,13988.5971206775,18205.1385022531
Slc6a1,13351.5971206775,18206.1385022531
Slc6a1,13570.5971206775,18206.1385022531
Plp1,13607.5971206775,18206.1385022531
