Gene,y,x
Aldoc,9572.3003770638,235.153330759145
Aldoc,9561.3003770638,271.15333075914504
Cplx2,9503.3003770638,283.15333075914504
Aldoc,9044.3003770638,307.15333075914504
Aldoc,9111.3003770638,378.153330759145
Aldoc,9584.3003770638,387.153330759145
Plp1,9361.3003770638,405.153330759145
Aldoc,9801.3003770638,412.153330759145
Pthlh,9733.3003770638,413.153330759145
Id2,9483.3003770638,426.153330759145
Plp1,9543.3003770638,470.153330759145
Id2,9245.3003770638,477.153330759145
Plp1,9110.3003770638,483.153330759145
Rgs10,9260.3003770638,497.153330759145
Cck,9515.3003770638,528.153330759145
Plp1,9561.3003770638,528.153330759145
Plp1,9493.3003770638,593.153330759145
Tac2,9227.3003770638,604.153330759145
Id2,9175.3003770638,615.153330759145
Cryab,9577.3003770638,624.153330759145
Aldoc,9809.3003770638,630.153330759145
Synpr,9129.3003770638,656.153330759145
Aldoc,9591.3003770638,663.153330759145
Pthlh,9389.3003770638,664.153330759145
Aldoc,9541.3003770638,678.153330759145
Aldoc,9430.3003770638,702.1533307591451
Plp1,9613.3003770638,745.1533307591451
Crhbp,9710.3003770638,767.1533307591451
Plp1,9896.3003770638,788.1533307591451
Plp1,9603.3003770638,823.1533307591451
Tac1,9702.3003770638,847.1533307591451
Plp1,9489.3003770638,848.1533307591451
Enpp2,9703.3003770638,883.1533307591451
Aldoc,9104.3003770638,904.1533307591451
Cnr1,9744.3003770638,910.1533307591451
Calb2,9327.3003770638,945.1533307591451
Pthlh,9677.3003770638,946.1533307591451
Plp1,9779.3003770638,948.1533307591451
Id2,9915.3003770638,1022.15333075915
Aldoc,9925.3003770638,1070.1533307591499
Cxcl14,9432.3003770638,1080.1533307591499
Aldoc,9435.3003770638,1083.1533307591499
Slc6a1,9312.3003770638,1087.1533307591499
Gad1,9330.3003770638,1092.1533307591499
Plp1,9353.3003770638,1099.1533307591499
Chrm2,9493.3003770638,1100.1533307591499
Cxcl14,9271.3003770638,1111.1533307591499
Calb2,9957.3003770638,1114.1533307591499
Pnoc,9778.3003770638,1115.1533307591499
