cell_label,3110035E14Rik,6330403K07Rik,Adgrl2,Aldoc,Arpp21,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Crym,Cux2,Cxcl14,Enc1,Enpp2,Fam19a1,Fos,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy,Npy2r,Nr4a2,Nrn1,Nrsn1,Ntng1,Pax6,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Pvrl3,Qrfpr,Rab3c,Rasgrf2,Rbp4,Reln,Rgs10,Rgs12,Rgs4,Rorb,Rprm,Satb1,Scg2,Sema3c,Serpini1,Slc17a8,Slc6a1,Snca,Sncg,Sst,Sulf2,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3,Zcchc12,iteration,has_converged,utc
3328,1.5541626421843e-09,6.781393617542027e-07,0.0,0.9940264848037156,0.0,0.9944700293837763,0.0,0.0,0.0,8.584871112264859e-07,0.0,0.0,0.0,1.9824348270806936e-08,0.0,0.0,0.0,0.013787975972906702,0.0,0.0,0.0,0.002034350801281602,0.0,0.0,9.6486406400217e-13,6.206989564046457e-11,0.0,0.0,0.0,4.089167650698059e-20,0.0,0.0,0.0,0.9751228884616531,0.0,0.9214243453061524,0.0,0.0,7.061832198155318e-14,0.0,0.0,0.0,1.353235304812857e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.8898185831469241,0.0,0.0,1.0087659922952523,1.7685081304861863e-18,0.0,0.0,0.0,0.0,3.277603660633344e-15,0.0,1.0745989651710497e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1696860214953102e-12,0.0,0.0,0.0,0.0002972904094990314,0.0,0.0,0.0,2.049823311711388e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08041607288784683,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3329,1.8990002368569483,0.0,0.0,1.0395455664922608,0.0,0.0,0.037121256355782936,0.0,0.0,0.00014134175910113656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408215169392387,0.0,0.0,0.0,0.0,0.4623716815569398,0.0,0.0,2.3142570746747873,0.9780429307095483,0.0,1.3618876155384403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026779565616404096,0.0,0.0,0.0,4.229149078416635,0.0,0.0,0.0,0.0,0.0,0.9931956649654261,0.0,0.0,0.0,0.0,0.8369455899118452,0.0,0.0,0.007834368913581989,0.0,0.015230462767749538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003724197990884685,0.0,0.030892128057352024,0.9417750670328048,0.0,0.0,0.9653812617094417,0.11415851687922378,0.9468429057127019,0.0,0.022212248242920105,0.975980282399566,0.02943762329604578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6183276003827284,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3330,0.08238099149752075,0.0,0.0,0.00014686688259783032,0.0,0.0,0.6751258881770252,0.0,0.0,0.9698145528537641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9879917843417307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1389144260769757,0.0,0.0,0.0,0.0,0.0,0.0,0.0003874773005299724,0.0,0.0,1.9684951330640814,0.0,0.0,0.0,0.0,0.0,0.0,0.007747213168481511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0774576399827723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613473014259677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698276796254174,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3331,0.002072326193149588,0.0,0.0,1.943240737032419,0.0,0.0,0.00029080431554060523,0.0,0.0,4.613246179633624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047677683181573005,0.0,0.0,0.0,0.9933104763555127,0.0,0.18259771074125752,0.0,0.0,0.0,0.0,2.2689486317856717,0.0,0.0,0.0,0.0,0.0,0.0,1.7055137872668254e-05,0.0,0.0,0.0,0.0,0.0,9.44710734934777e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0048780243112805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000290528139899133,0.0,0.0,0.956626398883976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03519532380666811,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3332,2.4978024889084692e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849035659818516,0.0,0.0,0.0,0.0,2.99142035459604,0.0,0.0,0.0,0.0,0.0,0.0,6.327081480854517e-07,1.8875385047870218e-13,8.332809925873064e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.367185812899938e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766034623590286,0.0,0.0,10.672230472099038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8993243070921684e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3964883201333963e-13,0.0,0.0,3.691708266773281e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3333,0.0,1.928751010756884e-11,0.0,0.0005036905585138368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7235482322962602,0.0,0.12593032277716515,0.0,0.0,0.9900823362677991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844365991835783,0.0,0.0,0.0,0.0,0.0,0.0,2.3301506459492984e-06,0.07549835295146898,0.0,0.0,12.721968748458549,0.0,2.968895727608296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8946290140525534,0.0,0.0,0.0,0.0,0.9912052009945229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982598710580421,0.0,0.0,0.0,0.0,0.0,1.5541267405281562e-17,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3334,4.944338080678127,0.0,0.7350887110425809,0.00021529712375070598,2.9699137827340083,0.0,0.0007346645831821251,0.0,0.0,0.05125124231321405,0.0,0.0,0.0,1.7688124330763e-09,0.009875219421506582,0.0,0.0,2.0139622303063804,0.0,0.0,0.0,0.0,0.09398178082144892,0.0,0.0,2.2110843456202156,0.10752158926513881,0.05912968867139778,0.9429622315242816,0.0,0.0,8.459155842738446e-18,0.0,0.0,9.173401888449845e-06,0.0,0.6706948377281284,0.0,0.0,0.0,0.0,0.0,2.7012164075602105,0.1526185860981528,0.0,3.7968892810995433e-06,0.0,0.9823405085603917,0.9906485427802935,0.0,0.0,0.0,0.32495745823532524,1.8157117594090604,0.0,0.0,0.016854513658821395,0.0,2.3361965940446274,0.0,2.3803323757398326e-07,0.0,0.0,0.0,0.0,0.0,0.009787254593087465,0.0,0.0,0.928841338989108,0.0,0.0,1.56846352938977,1.6948668145943107,0.0,0.07269214193135896,0.0,0.0,1.5480905914920474e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4165270993696,0.0,0.16488685408820292,153,1,2022-07-14 21:02:06.675942
3335,0.8753238071912096,0.0,0.0,0.00542440080830453,0.7618065346181305,0.0,0.9565567319348114,0.0,0.0,2.8286930547091753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1311685676331538,0.0,0.0,0.0,0.0,0.0001891864076746826,0.0,0.0,0.8997921079756759,1.0509398694186165,0.0008875864814727388,0.26146738287693466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.140554359411974,0.0,0.0,0.0,0.0,0.0,3.485420882032501e-06,0.0,0.0,0.0,0.0,1.993830123219101,0.0,0.0,0.20382477281089634,0.0,1.7919185294306157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024764410917791,1.0076302274862325,0.0,0.0,6.807017057635323e-07,1.9514476439506125,2.5804938342902107e-07,0.0,0.0,1.592556150992579e-05,0.9854975562267791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.815713344770435,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3336,0.0,0.0,0.0,3.798268131810441e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424255976126294,0.0,0.0,0.0,0.0011269571862870694,1.4504961287559664e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.801719174666654,0.0,0.0,0.0,1.0702403538676547e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945631620943256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898812798984463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
3337,0.030111948080537243,0.0,0.0,8.579420716997715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001085976200622417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152821701404747,0.0,0.0,0.9468820134639809,0.0,1.988540734751402,0.00943831417556484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8992460214492455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7907080218935165e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021083314194555343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1,2022-07-14 21:02:06.675942
