,Gene,x,y
259,Pcp4,66,5203
260,Plp1,66,5106
261,Plp1,66,5101
262,Plp1,66,5097
263,Enpp2,66,4916
264,Enpp2,66,4683
265,Plp1,66,4583
266,Plp1,66,4469
267,Plp1,66,4158
268,Plp1,67,5105
269,Plp1,67,5088
270,Cryab,67,5020
271,Plp1,67,5000
272,Plp1,67,4913
273,Plp1,67,4910
274,Enpp2,67,4847
275,Cryab,67,4839
276,Plp1,67,4577
277,Enpp2,68,5013
278,Plp1,68,4589
279,Plp1,68,4419
280,Plp1,68,4150
281,Plp1,69,5096
282,Pde1a,69,5068
283,Plp1,69,5008
284,Pde1a,69,4901
285,Plp1,69,4851
286,Plp1,69,4587
287,Plp1,69,4581
288,Plp1,69,4104
289,Plp1,70,5091
290,Enpp2,70,4842
291,Aldoc,70,4819
292,Id2,70,4796
293,Enpp2,70,4118
294,Plp1,71,5095
295,Kctd12,71,5067
296,Cryab,71,5018
297,Plp1,71,5012
298,Cryab,71,5007
299,Sulf2,71,4962
300,Cryab,71,4859
301,Plp1,71,4846
302,Plp1,71,4148
303,Plp1,71,4102
304,Plp1,72,5106
305,Cryab,72,5006
306,Plp1,72,4155
307,Plp1,73,5015
308,Plp1,73,4901
309,Plp1,73,4881
310,Plp1,73,4862
311,Plp1,73,4119
312,Plp1,73,4104
313,6330403K07Rik,74,5215
314,Pcp4,74,4583
315,Pvalb,74,4059
316,Plp1,75,5223
317,Plp1,75,5017
318,Plp1,75,5000
319,Plp1,75,4997
320,Aldoc,75,4810
321,Plp1,75,4110
322,Plp1,76,5108
323,Plp1,76,4876
324,Plp1,76,4855
325,Plp1,76,4851
326,Enpp2,76,4847
327,Plp1,77,5109
328,Plp1,77,5011
329,Plp1,77,5003
330,Plp1,77,4864
331,Plp1,77,4806
332,Plp1,77,4160
333,Plp1,78,5095
334,Plp1,78,5075
335,Plp1,78,4118
336,Plp1,78,4110
337,Plp1,78,4105
338,Cryab,79,5066
339,Cryab,79,5005
340,Plp1,79,4857
341,Arpp21,79,4526
342,Plp1,79,4196
343,Plp1,79,4190
344,Plp1,80,5283
345,Enpp2,80,5009
346,Plp1,80,4864
347,Cryab,80,4860
348,Plp1,80,4195
349,Enpp2,81,5108
350,Htr3a,81,5081
351,Plp1,81,4194
352,Plp1,81,4191
353,Enpp2,82,5096
354,Plp1,82,5065
355,Cryab,82,5017
356,Arpp21,82,4528
357,Plp1,82,4107
358,Cryab,83,5204
359,Plp1,83,5070
360,Plp1,83,5062
361,Plp1,83,4997
362,Plp1,83,4177
363,Slc17a8,84,5297
364,Plp1,84,5284
365,Plp1,84,5085
366,Plp1,84,5066
367,Cryab,84,5005
368,Plp1,84,4745
369,Enpp2,85,5097
370,Plp1,85,5078
371,Plp1,85,4744
372,Plp1,85,4195
373,Plp1,86,5296
374,Plp1,86,4196
375,Plp1,87,5006
376,Snca,87,4815
377,Rgs4,87,4406
378,Plp1,87,3930
379,Plp1,88,5302
380,Enpp2,88,5201
381,Enpp2,88,5097
382,Plp1,88,5038
383,Plp1,88,5008
384,Kctd12,88,4998
385,Rgs4,88,4405
386,Pvalb,88,4033
387,Plp1,89,5293
388,Plp1,89,5217
389,Plp1,89,5188
390,Enpp2,89,5097
