gene,gene_efficiency,iteration,has_converged,utc
Sst,0.29845496139376854,153,1,2022-07-14 21:02:07.839942
Sulf2,0.18469693234569537,153,1,2022-07-14 21:02:07.839942
Synpr,0.048690577561305515,153,1,2022-07-14 21:02:07.839942
Tac1,0.26724943229053344,153,1,2022-07-14 21:02:07.839942
Tac2,0.11273885413045037,153,1,2022-07-14 21:02:07.839942
Th,0.10016927169130262,153,1,2022-07-14 21:02:07.839942
Thsd7a,0.06100267326710225,153,1,2022-07-14 21:02:07.839942
Trp53i11,0.39286562829143323,153,1,2022-07-14 21:02:07.839942
Vip,0.17578672585574986,153,1,2022-07-14 21:02:07.839942
Wfs1,0.6096603375243826,153,1,2022-07-14 21:02:07.839942
Yjefn3,0.06459298468478178,153,1,2022-07-14 21:02:07.839942
Zcchc12,0.19024973173436946,153,1,2022-07-14 21:02:07.839942
