cell_id,fov_id,area,x,y
0,0,981,6160.308868501529,13730.73496432212
1,0,743,6159.487213997309,13770.56796769852
2,0,944,6159.7722457627115,13907.273305084746
3,0,583,6161.432246998284,13960.305317324186
4,0,962,6160.737006237006,13992.266112266112
5,0,1318,6160.158573596358,14106.647951441579
6,0,1198,6166.514190317195,14156.513355592655
7,0,2679,6174.919372900336,14208.263157894737
8,0,748,6160.207219251337,14246.799465240641
9,0,300,6159.82,13941.273333333333
10,0,2182,6192.63932172319,14261.678735105408
11,0,544,6174.944852941177,13592.641544117647
12,0,1340,6188.025373134328,13728.90671641791
13,0,1404,6183.834045584045,13822.592592592593
14,0,592,6181.641891891892,14103.43581081081
15,0,735,6191.56462585034,14174.793197278912
16,0,1320,6198.385606060606,13909.794696969697
17,0,1049,6200.747378455672,13423.535748331744
18,0,322,6194.23602484472,13662.717391304348
19,0,1494,6206.527443105756,13871.357429718875
20,0,1246,6205.449438202248,14038.654093097914
21,0,273,6198.054945054945,13531.054945054944
22,0,1033,6209.085188770571,13356.543078412391
23,0,1134,6213.946208112875,13645.456790123457
24,0,1564,6222.617007672634,13509.76726342711
25,0,1613,6220.921884686919,13605.000619962802
26,0,2471,6226.594900849858,14402.830837717524
27,0,752,6216.103723404255,13446.968085106382
28,0,380,6211.255263157895,13772.26052631579
29,0,787,6220.453621346887,14342.735705209658
30,0,363,6226.440771349862,13774.829201101928
31,0,561,6222.755793226382,13387.704099821747
32,0,575,6224.944347826087,14297.533913043479
33,0,1051,6240.452901998097,13450.843958135109
34,0,712,6237.51404494382,13363.629213483146
35,0,737,6236.987788331072,13165.189959294437
36,0,913,6249.906900328587,13386.032858707558
37,0,922,6243.774403470716,14526.039045553145
38,0,1146,6247.476439790576,13685.494764397907
39,0,837,6249.123058542414,14553.823178016726
40,0,974,6251.496919917864,14498.143737166325
41,0,1157,6253.340535868626,13259.595505617977
42,0,1708,6257.18618266979,13321.682084309134
43,0,689,6247.548621190131,13102.252539912917
44,0,1393,6258.562096195262,14453.418521177315
45,0,457,6251.544857768053,14389.190371991248
46,0,1228,6262.432410423453,13805.482084690553
47,0,1646,6268.1652490887,13044.149453219927
48,0,837,6260.5770609319,13971.42771804062
49,0,1143,6266.996500437445,13739.272965879265
50,0,917,6265.387131952018,13009.422028353327
51,0,1544,6275.056347150259,14594.841321243523
52,0,1236,6275.516990291262,14246.974919093851
53,0,1772,6283.205981941309,13182.001693002258
54,0,831,6274.117930204573,13074.702767749699
55,0,1421,6277.007741027445,14161.299085151302
56,0,1157,6281.554883318929,14514.919619706136
57,0,1013,6283.347482724581,14283.265547877592
